,ticker,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Cash and cash equivalents(figures in $M),BIG,44.73,53.722,559.556,52.721
Total cash(figures in $M),BIG,44.73,53.722,559.556,52.721
Inventory(figures in $M),BIG,1147.949,1237.797,940.294,921.266
Other current assets(figures in $M),BIG,92.635,119.449,85.939,89.962
Total current assets(figures in $M),BIG,1285.314,1410.968,1585.789,1063.949
"Gross property, plant and equipment(figures in $M)",BIG,2310.867,2467.821,2366.225,2051.399
Accumulated depreciation(figures in $M),BIG,-1269.182,-1294.707,-1221.321,-1351.54
"Net property, plant and equipment(figures in $M)",BIG,2310.867,2467.821,2366.225,2051.399
Other long-term assets(figures in $M),BIG,38.449,37.491,68.914,69.171
Total non-current assets(figures in $M),BIG,2405.617,2516.285,2451.468,2125.332
Total assets(figures in $M),BIG,3690.931,3927.253,4037.257,3189.281
Current debt(figures in $M),BIG,0.0,0.0,14.5,14.027
Accounts payable(figures in $M),BIG,421.68,587.496,398.433,378.241
Taxes payable(figures in $M),BIG,0.845,0.894,43.601,3.93
Accrued liabilities(figures in $M),BIG,137.864,166.446,188.161,158.265
Other current liabilities(figures in $M),BIG,0.0,0.0,109.694,82.109
Total current liabilities(figures in $M),BIG,919.854,1124.587,1000.624,870.82
Long-term debt(figures in $M),BIG,301.4,3.5,35.764,279.464
Deferred tax liabilities(figures in $M),BIG,0.0,21.413,7.762,48.61
Other long-term liabilities(figures in $M),BIG,133.148,138.086,192.491,51.979
Total non-current liabilities(figures in $M),BIG,2007.17,1795.303,1758.902,1472.997
Total liabilities(figures in $M),BIG,2927.024,2919.89,2759.526,2343.817
Common stock(figures in $M),BIG,1.175,1.175,1.175,1.175
Retained earnings(figures in $M),BIG,3240.193,3487.268,3351.002,2769.793
Total stockholders' equity(figures in $M),BIG,763.907,1007.363,1277.731,845.464
Total liabilities and stockholders' equity(figures in $M),BIG,3690.931,3927.253,4037.257,3189.281
