,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),CINF,29736.0,31387.0,27542.0,25408.0
Total liabilities(figures in $M),CINF,19205.0,18282.0,16753.0,15544.0
Common stock(figures in $M),CINF,397.0,397.0,397.0,397.0
Retained earnings(figures in $M),CINF,11702.0,12625.0,10085.0,9257.0
Accumulated other comprehensive income(figures in $M),CINF,-636.0,648.0,769.0,448.0
Total stockholders' equity(figures in $M),CINF,10531.0,13105.0,10789.0,9864.0
Total liabilities and stockholders' equity(figures in $M),CINF,29736.0,31387.0,27542.0,25408.0
