,ticker,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Cash and cash equivalents(figures in $M),AZO,264.38,1171.335,1750.815,176.3
Total cash(figures in $M),AZO,264.38,1171.335,1750.815,176.3
Net receivables(figures in $M),AZO,504.886,378.392,364.774,308.995
Inventory(figures in $M),AZO,5638.004,4639.813,4473.282,4319.113
Other current assets(figures in $M),AZO,220.714,225.763,223.001,224.277
Total current assets(figures in $M),AZO,6627.984,6415.303,6811.872,5028.685
"Gross property, plant and equipment(figures in $M)",AZO,12371.988,11525.89,10718.219,7713.196
Accumulated depreciation(figures in $M),AZO,-4282.752,-3950.287,-3627.321,-3314.445
"Net property, plant and equipment(figures in $M)",AZO,8089.236,7575.603,7090.898,4398.751
Goodwill(figures in $M),AZO,302.645,302.645,302.645,302.645
Intangible assets(figures in $M),AZO,0.0,0.0,1.443,5.616
Other long-term assets(figures in $M),AZO,203.131,181.605,189.171,468.477
Total non-current assets(figures in $M),AZO,8647.059,8100.896,7612.0,4867.228
Total assets(figures in $M),AZO,15275.043,14516.199,14423.872,9895.913
Accounts payable(figures in $M),AZO,7301.347,6013.924,5156.324,4864.912
Taxes payable(figures in $M),AZO,34.938,79.474,75.253,25.297
Accrued liabilities(figures in $M),AZO,347.627,343.464,317.903,272.993
Total current liabilities(figures in $M),AZO,8588.393,7369.754,6307.091,5512.141
Long-term debt(figures in $M),AZO,6122.092,5269.82,5513.371,5206.344
Deferred tax liabilities(figures in $M),AZO,533.884,337.125,354.186,311.98
Other long-term liabilities(figures in $M),AZO,731.614,704.194,649.641,579.299
Total non-current liabilities(figures in $M),AZO,10225.563,8943.981,8994.758,6097.623
Total liabilities(figures in $M),AZO,18813.956,16313.735,15301.849,11609.764
Common stock(figures in $M),AZO,0.207,0.23,0.237,0.254
Retained earnings(figures in $M),AZO,-1330.067,-419.829,-1450.97,-1305.347
Accumulated other comprehensive income(figures in $M),AZO,-300.536,-307.986,-354.252,-269.322
Total stockholders' equity(figures in $M),AZO,-3538.913,-1797.536,-877.977,-1713.851
Total liabilities and stockholders' equity(figures in $M),AZO,15275.043,14516.199,14423.872,9895.913
