,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),APD,2711.0,4468.9,5253.0,2248.7
Other short-term investments(figures in $M),APD,590.7,1331.9,1104.9,166.0
Total cash(figures in $M),APD,3301.7,5800.8,6357.9,2414.7
Net receivables(figures in $M),APD,1794.4,1451.3,1274.8,1260.2
Inventory(figures in $M),APD,514.2,453.9,404.8,388.3
Other current assets(figures in $M),APD,170.5,161.8,132.9,115.5
Total current assets(figures in $M),APD,6282.9,8376.3,8684.9,4618.3
"Gross property, plant and equipment(figures in $M)",APD,28160.1,27488.8,25176.2,22333.7
Accumulated depreciation(figures in $M),APD,-13999.6,-14234.2,-13211.5,-11996.1
"Net property, plant and equipment(figures in $M)",APD,14160.5,13254.6,11964.7,10337.6
Equity and other investments(figures in $M),APD,3353.8,1649.3,1432.2,1276.2
Goodwill(figures in $M),APD,823.0,911.5,891.5,797.1
Intangible assets(figures in $M),APD,347.5,420.7,435.8,419.5
Other long-term assets(figures in $M),APD,1641.8,1506.5,943.1,604.1
Total non-current assets(figures in $M),APD,20909.7,18482.9,16483.6,14324.5
Total assets(figures in $M),APD,27192.6,26859.2,25168.5,18942.8
Current debt(figures in $M),APD,559.0,486.9,477.7,98.6
Accounts payable(figures in $M),APD,2771.6,2218.3,1833.2,1635.7
Taxes payable(figures in $M),APD,135.2,93.9,105.8,86.6
Accrued liabilities(figures in $M),APD,523.0,609.6,537.5,487.2
Deferred revenues(figures in $M),APD,439.1,366.8,313.8,247.4
Other current liabilities(figures in $M),APD,228.3,68.8,50.9,91.2
Total current liabilities(figures in $M),APD,3465.8,2799.1,2416.7,1820.9
Long-term debt(figures in $M),APD,7085.8,7150.3,7430.1,3227.4
Deferred tax liabilities(figures in $M),APD,1247.4,1180.9,962.6,793.8
Deferred revenues(figures in $M),APD,67.2,58.4,57.9,49.2
Other long-term liabilities(figures in $M),APD,1691.2,1640.9,1916.0,1712.4
Total non-current liabilities(figures in $M),APD,10024.4,9972.1,10308.7,5733.6
Total liabilities(figures in $M),APD,13490.2,12771.2,12725.4,7554.5
Common stock(figures in $M),APD,249.4,249.4,249.4,249.4
Retained earnings(figures in $M),APD,16520.3,15678.3,14875.7,14138.4
Accumulated other comprehensive income(figures in $M),APD,-2786.1,-1515.9,-2140.1,-2375.6
Total stockholders' equity(figures in $M),APD,13144.0,13539.7,12079.8,11053.6
Total liabilities and stockholders' equity(figures in $M),APD,27192.6,26859.2,25168.5,18942.8
