,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),KEY,7026.0,7033.0,7038.0,6490.0,6182.0
Interest expense(figures in $M),KEY,885.0,885.0,296.0,651.0,1326.0
Income before tax(figures in $M),KEY,2333.0,2333.0,3254.0,1556.0,2022.0
Income tax expense(figures in $M),KEY,422.0,422.0,642.0,227.0,314.0
Income from continuing operations(figures in $M),KEY,1911.0,1911.0,2612.0,1329.0,1708.0
Net income(figures in $M),KEY,1917.0,1917.0,2625.0,1343.0,1717.0
Net income available to common shareholders(figures in $M),KEY,1799.0,1799.0,2519.0,1237.0,1620.0
Basic EPS(figures in $M),KEY,,,2.65e-06,1.28e-06,1.6299999999999999e-06
Diluted EPS(figures in $M),KEY,,,2.63e-06,1.2700000000000001e-06,1.6200000000000002e-06
Basic average shares(figures in $M),KEY,,,947.065,967.783,992.091
Diluted average shares(figures in $M),KEY,,,957.414,974.807,1002.254
