,ticker,sentiment
2023-04-06 04:51:32,BIIB,0.4588
2023-04-06 07:00:19,BIIB,0.1027
2023-04-06 10:20:35,BIIB,0.1027
2023-04-06 20:30:00,BIIB,0.6369
2023-04-07 04:34:00,BIIB,0.296
2023-04-10 05:56:00,BIIB,0.4767
2023-04-10 07:01:21,BIIB,0.4767
2023-04-11 01:03:00,BIIB,-0.4404
2023-04-11 04:40:00,BIIB,-0.4019
2023-04-11 07:00:13,BIIB,-0.3612
2023-04-11 23:43:00,BIIB,-0.128
2023-04-12 21:09:00,BIIB,-0.4215
2023-04-15 22:38:00,BIIB,-0.0772
2023-04-16 06:00:28,BIIB,0.5574
2023-04-16 20:36:00,BIIB,-0.296
2023-04-16 20:38:00,BIIB,-0.3612
2023-04-16 21:03:00,BIIB,-0.4019
2023-04-16 21:03:00,BIIB,-0.3612
2023-04-17 02:07:00,BIIB,-0.296
2023-04-17 04:07:00,BIIB,-0.296
2023-04-19 12:32:00,BIIB,0.6249
2023-04-20 11:00:00,BIIB,0.4404
2023-04-20 19:00:00,BIIB,0.4588
2023-04-21 05:32:00,BIIB,0.1779
2023-04-21 11:03:15,BIIB,0.4574
2023-04-24 18:48:00,BIIB,0.6124
2023-04-24 19:08:00,BIIB,0.6124
2023-04-24 23:06:00,BIIB,-0.0516
2023-04-24 23:13:00,BIIB,0.4019
2023-04-25 00:05:00,BIIB,0.296
2023-04-25 00:25:00,BIIB,0.5106
2023-04-25 04:02:43,BIIB,0.7351
2023-04-25 04:21:00,BIIB,0.5423
2023-04-25 04:31:12,BIIB,0.7351
2023-04-25 05:13:00,BIIB,0.4019
2023-04-25 05:27:00,BIIB,-0.0258
2023-04-25 05:49:00,BIIB,0.5859
2023-04-25 06:20:41,BIIB,0.6124
2023-04-25 06:52:00,BIIB,0.6124
2023-04-25 06:57:42,BIIB,0.5106
2023-04-25 08:02:47,BIIB,-0.2732
2023-04-25 09:02:07,BIIB,0.1531
2023-04-25 10:33:49,BIIB,0.4019
2023-04-25 10:54:06,BIIB,0.6249
2023-04-25 12:04:00,BIIB,0.6124
2023-04-25 13:02:38,BIIB,0.4019
2023-04-25 13:03:57,BIIB,0.7351
2023-04-25 19:05:00,BIIB,0.4019
2023-04-25 20:08:00,BIIB,0.6705
2023-04-25 22:25:00,BIIB,0.7783
2023-04-25 23:11:00,BIIB,0.2023
2023-04-26 01:19:00,BIIB,-0.128
2023-04-26 06:44:14,BIIB,0.4019
2023-04-26 10:53:20,BIIB,0.4767
2023-04-27 03:11:00,BIIB,0.296
2023-04-27 03:20:00,BIIB,0.2023
2023-04-27 07:00:58,BIIB,-0.0772
2023-04-27 22:29:00,BIIB,0.4019
2023-04-28 03:26:31,BIIB,0.4576
2023-04-28 07:01:06,BIIB,0.4215
2023-05-01 00:35:00,BIIB,-0.5267
2023-05-01 00:53:00,BIIB,0.4767
2023-05-01 01:21:00,BIIB,0.3818
2023-05-01 05:27:00,BIIB,0.2023
2023-05-01 09:40:00,BIIB,0.5106
2023-05-02 19:02:00,BIIB,0.6901
2023-05-02 23:57:00,BIIB,0.4215
2023-05-03 02:09:00,BIIB,0.5719
2023-05-03 03:21:00,BIIB,0.4019
2023-05-03 05:23:00,BIIB,0.128
2023-05-03 07:16:00,BIIB,0.5994
2023-05-03 10:22:56,BIIB,0.5859
2023-05-03 11:55:16,BIIB,0.25
2023-05-03 13:58:23,BIIB,0.5574
2023-05-03 20:41:00,BIIB,0.5106
2023-05-04 02:30:00,BIIB,0.6115
2023-05-04 09:11:35,BIIB,0.296
