,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),K,299.0,286.0,435.0,397.0
Total cash(figures in $M),K,299.0,286.0,435.0,397.0
Net receivables(figures in $M),K,1736.0,1489.0,1537.0,1576.0
Inventory(figures in $M),K,1768.0,1398.0,1284.0,1226.0
Other current assets(figures in $M),K,383.0,221.0,226.0,232.0
Total current assets(figures in $M),K,4186.0,3394.0,3482.0,3431.0
"Gross property, plant and equipment(figures in $M)",K,4406.0,4467.0,4371.0,4153.0
Accumulated depreciation(figures in $M),K,-6092.0,-6028.0,-5806.0,-5439.0
"Net property, plant and equipment(figures in $M)",K,4406.0,4467.0,4371.0,4153.0
Equity and other investments(figures in $M),K,432.0,424.0,391.0,404.0
Goodwill(figures in $M),K,5686.0,5771.0,5799.0,5861.0
Intangible assets(figures in $M),K,2296.0,2409.0,2491.0,2576.0
Other long-term assets(figures in $M),K,1490.0,1713.0,1462.0,1139.0
Total non-current assets(figures in $M),K,14310.0,14784.0,14514.0,14133.0
Total assets(figures in $M),K,18496.0,18178.0,17996.0,17564.0
Current debt(figures in $M),K,1247.0,849.0,729.0,727.0
Accounts payable(figures in $M),K,2973.0,2573.0,2471.0,2387.0
Taxes payable(figures in $M),K,49.0,49.0,58.0,42.0
Accrued liabilities(figures in $M),K,1136.0,1014.0,776.0,931.0
Deferred revenues(figures in $M),K,150.0,0.0,0.0,0.0
Other current liabilities(figures in $M),K,872.0,763.0,1145.0,1550.0
Total current liabilities(figures in $M),K,6349.0,5315.0,5238.0,4778.0
Long-term debt(figures in $M),K,5317.0,6262.0,6746.0,7195.0
Deferred tax liabilities(figures in $M),K,760.0,722.0,562.0,596.0
Other long-term liabilities(figures in $M),K,500.0,456.0,525.0,543.0
Total non-current liabilities(figures in $M),K,7772.0,8648.0,9122.0,9472.0
Total liabilities(figures in $M),K,14121.0,13963.0,14360.0,14250.0
Common stock(figures in $M),K,105.0,105.0,105.0,105.0
Retained earnings(figures in $M),K,9197.0,9028.0,8326.0,7859.0
Accumulated other comprehensive income(figures in $M),K,-1708.0,-1721.0,-1732.0,-1448.0
Total stockholders' equity(figures in $M),K,3941.0,3720.0,3112.0,2747.0
Total liabilities and stockholders' equity(figures in $M),K,18496.0,18178.0,17996.0,17564.0
