,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),ROK,490.7,662.2,704.6,1018.4
Other short-term investments(figures in $M),ROK,0.0,0.0,0.0,39.6
Total cash(figures in $M),ROK,490.7,662.2,704.6,1058.0
Net receivables(figures in $M),ROK,1736.7,1424.5,1249.1,1178.7
Inventory(figures in $M),ROK,1054.2,798.1,584.0,575.7
Other current assets(figures in $M),ROK,329.1,178.6,148.1,173.3
Total current assets(figures in $M),ROK,3281.6,2884.8,2537.7,2812.4
"Gross property, plant and equipment(figures in $M)",ROK,907.5,959.6,917.3,571.9
Accumulated depreciation(figures in $M),ROK,-1702.3,-1743.6,-1674.9,-1566.0
"Net property, plant and equipment(figures in $M)",ROK,907.5,959.6,917.3,571.9
Equity and other investments(figures in $M),ROK,1056.0,1363.5,953.5,793.9
Goodwill(figures in $M),ROK,3524.0,3625.9,1650.3,1071.1
Intangible assets(figures in $M),ROK,902.0,1021.8,479.3,194.1
Other long-term assets(figures in $M),ROK,1087.6,846.0,726.6,669.6
Total non-current assets(figures in $M),ROK,7477.1,7816.8,4727.0,3300.6
Total assets(figures in $M),ROK,10758.7,10701.6,7264.7,6113.0
Current debt(figures in $M),ROK,968.4,509.7,24.6,300.5
Accounts payable(figures in $M),ROK,1028.0,889.8,687.8,694.6
Taxes payable(figures in $M),ROK,81.1,188.4,79.8,62.9
Accrued liabilities(figures in $M),ROK,34.6,35.8,35.7,40.7
Deferred revenues(figures in $M),ROK,507.0,462.5,325.3,275.6
Other current liabilities(figures in $M),ROK,511.5,348.3,312.4,279.7
Total current liabilities(figures in $M),ROK,1996.4,1399.5,712.4,995.1
Long-term debt(figures in $M),ROK,2867.8,3464.6,1974.7,1956.4
Other long-term liabilities(figures in $M),ROK,2614.3,2829.8,3275.1,2757.3
Total non-current liabilities(figures in $M),ROK,5745.6,6608.0,5524.5,4713.7
Total liabilities(figures in $M),ROK,7742.0,8007.5,6236.9,5708.8
Common stock(figures in $M),ROK,181.4,181.4,181.4,181.4
Retained earnings(figures in $M),ROK,8411.8,8000.4,7139.8,6440.2
Accumulated other comprehensive income(figures in $M),ROK,-917.5,-1017.1,-1614.2,-1488.0
Total stockholders' equity(figures in $M),ROK,2725.6,2389.6,708.8,404.2
Total liabilities and stockholders' equity(figures in $M),ROK,10758.7,10701.6,7264.7,6113.0
