,ticker,2022-03-31,2021-03-31,2020-03-31
Cash and cash equivalents(figures in $M),MCK,3532.0,6278.0,4015.0
Total cash(figures in $M),MCK,3532.0,6278.0,4015.0
Net receivables(figures in $M),MCK,18583.0,19181.0,19950.0
Inventory(figures in $M),MCK,18702.0,19246.0,16734.0
Total current assets(figures in $M),MCK,46231.0,45382.0,42222.0
"Gross property, plant and equipment(figures in $M)",MCK,3640.0,4681.0,4251.0
Accumulated depreciation(figures in $M),MCK,-1994.0,-2214.0,-1829.0
"Net property, plant and equipment(figures in $M)",MCK,3640.0,4681.0,4251.0
Equity and other investments(figures in $M),MCK,0.0,0.0,0.0
Goodwill(figures in $M),MCK,9451.0,9493.0,9360.0
Intangible assets(figures in $M),MCK,2059.0,2878.0,3156.0
Other long-term assets(figures in $M),MCK,1917.0,2581.0,2258.0
Total non-current assets(figures in $M),MCK,17067.0,19633.0,19025.0
Total assets(figures in $M),MCK,63298.0,65015.0,61247.0
Current debt(figures in $M),MCK,799.0,742.0,1052.0
Accounts payable(figures in $M),MCK,38086.0,38975.0,37195.0
Accrued liabilities(figures in $M),MCK,4543.0,3987.0,3340.0
Other current liabilities(figures in $M),MCK,4741.0,9.0,683.0
Total current liabilities(figures in $M),MCK,48466.0,44103.0,42624.0
Long-term debt(figures in $M),MCK,5080.0,6406.0,6335.0
Deferred tax liabilities(figures in $M),MCK,1418.0,1411.0,2255.0
Other long-term liabilities(figures in $M),MCK,8760.0,9782.0,1662.0
Total non-current liabilities(figures in $M),MCK,16624.0,19466.0,11912.0
Total liabilities(figures in $M),MCK,65090.0,63569.0,54536.0
Common stock(figures in $M),MCK,2.0,2.0,2.0
Retained earnings(figures in $M),MCK,9030.0,8202.0,13022.0
Accumulated other comprehensive income(figures in $M),MCK,-1534.0,-1480.0,-1703.0
Total stockholders' equity(figures in $M),MCK,-2272.0,-21.0,5092.0
Total liabilities and stockholders' equity(figures in $M),MCK,63298.0,65015.0,61247.0
