,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AFL,19511.0,19140.0,22106.0,22147.0,22307.0
Interest expense(figures in $M),AFL,226.0,226.0,238.0,242.0,228.0
Total other income/expenses net(figures in $M),AFL,220.0,220.0,,,
Income before tax(figures in $M),AFL,4604.0,4869.0,5322.0,4159.0,4445.0
Income tax expense(figures in $M),AFL,403.0,451.0,997.0,-619.0,1141.0
Income from continuing operations(figures in $M),AFL,4201.0,4418.0,4325.0,4778.0,3304.0
Net income(figures in $M),AFL,4201.0,4418.0,4325.0,4778.0,3304.0
Net income available to common shareholders(figures in $M),AFL,4201.0,4418.0,4325.0,4778.0,3304.0
Basic EPS(figures in $M),AFL,,6.96e-06,6.4199999999999995e-06,6.69e-06,4.450000000000001e-06
Diluted EPS(figures in $M),AFL,,6.93e-06,6.39e-06,6.67e-06,4.43e-06
Basic average shares(figures in $M),AFL,,634.816,673.617,713.702,742.414
Diluted average shares(figures in $M),AFL,,637.655,676.729,716.192,746.43
