,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),HIG,73022.0,76578.0,74111.0,70817.0
Total liabilities(figures in $M),HIG,59391.0,58735.0,55555.0,54547.0
Common stock(figures in $M),HIG,17507.0,338.0,17386.0,16218.0
Retained earnings(figures in $M),HIG,17048.0,15764.0,13918.0,12685.0
Accumulated other comprehensive income(figures in $M),HIG,-3876.0,172.0,1170.0,52.0
Total stockholders' equity(figures in $M),HIG,13631.0,17843.0,18556.0,16270.0
Total liabilities and stockholders' equity(figures in $M),HIG,73022.0,76578.0,74111.0,70817.0
