,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),HIG,21854.0,22362.0,22390.0,20523.0,20740.0
Interest expense(figures in $M),HIG,213.0,213.0,234.0,236.0,259.0
Total other income/expenses net(figures in $M),HIG,73.0,73.0,81.0,126.0,170.0
Income before tax(figures in $M),HIG,2258.0,2258.0,2896.0,2120.0,2560.0
Income tax expense(figures in $M),HIG,443.0,443.0,531.0,383.0,475.0
Income from continuing operations(figures in $M),HIG,1815.0,1815.0,2365.0,1737.0,2085.0
Net income(figures in $M),HIG,1815.0,1815.0,2365.0,1737.0,2085.0
Net income available to common shareholders(figures in $M),HIG,1794.0,1794.0,2344.0,1716.0,2064.0
Basic EPS(figures in $M),HIG,,5.52e-06,6.71e-06,4.79e-06,5.7199999999999994e-06
Diluted EPS(figures in $M),HIG,,5.4400000000000004e-06,6.62e-06,4.76e-06,5.66e-06
Basic average shares(figures in $M),HIG,,324.8,349.1,358.3,360.9
Diluted average shares(figures in $M),HIG,,329.5,354.1,360.6,364.9
