,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DV,267.813,221.591,33.354,10.92
Total cash(figures in $M),DV,267.813,221.591,33.354,10.92
Net receivables(figures in $M),DV,167.122,122.938,94.677,68.683
Other current assets(figures in $M),DV,10.161,23.295,13.904,0.0
Total current assets(figures in $M),DV,445.096,367.824,141.935,85.235
"Gross property, plant and equipment(figures in $M)",DV,111.726,44.346,33.35,21.933
Accumulated depreciation(figures in $M),DV,-26.401,-26.771,-15.243,-8.495
"Net property, plant and equipment(figures in $M)",DV,111.726,17.575,18.107,13.438
Goodwill(figures in $M),DV,343.011,350.56,227.349,227.349
Intangible assets(figures in $M),DV,135.429,153.395,121.71,139.621
Other long-term assets(figures in $M),DV,1.731,2.78,2.151,0.533
Total non-current assets(figures in $M),DV,591.932,524.37,369.399,381.036
Total assets(figures in $M),DV,1037.028,892.194,511.334,466.271
Current debt(figures in $M),DV,0.0,0.0,0.0,0.471
Accounts payable(figures in $M),DV,6.675,3.853,3.495,1.143
Taxes payable(figures in $M),DV,11.953,1.321,1.277,7.77
Accrued liabilities(figures in $M),DV,33.085,41.456,10.853,5.707
Other current liabilities(figures in $M),DV,8.31,8.433,2.314,4.883
Total current liabilities(figures in $M),DV,68.91,57.033,34.02,32.01
Long-term debt(figures in $M),DV,0.0,0.0,22.0,72.73
Deferred tax liabilities(figures in $M),DV,12.89,30.307,31.418,36.567
Other long-term liabilities(figures in $M),DV,3.504,3.209,3.754,3.428
Total non-current liabilities(figures in $M),DV,91.259,36.095,60.619,116.243
Total liabilities(figures in $M),DV,160.169,93.128,94.639,148.253
Common stock(figures in $M),DV,0.165,0.162,0.75,0.14
Retained earnings(figures in $M),DV,127.517,84.249,54.941,34.488
Accumulated other comprehensive income(figures in $M),DV,-6.326,-0.771,1.011,-0.067
Total stockholders' equity(figures in $M),DV,876.859,799.066,416.695,318.018
Total liabilities and stockholders' equity(figures in $M),DV,1037.028,892.194,511.334,466.271
