,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),HAS,513.1,1019.2,1449.676,4580.369
Total cash(figures in $M),HAS,513.1,1019.2,1449.676,4580.369
Net receivables(figures in $M),HAS,1132.4,1500.4,1391.726,1410.597
Inventory(figures in $M),HAS,676.8,552.1,395.633,446.105
Other current assets(figures in $M),HAS,676.8,0.0,0.0,310.45
Total current assets(figures in $M),HAS,2999.1,3728.1,3846.645,6747.521
"Gross property, plant and equipment(figures in $M)",HAS,1198.6,1148.2,1105.315,915.782
Accumulated depreciation(figures in $M),HAS,-775.8,-727.1,-616.274,-533.534
"Net property, plant and equipment(figures in $M)",HAS,422.8,421.1,489.041,382.248
Goodwill(figures in $M),HAS,3470.1,3419.6,3691.709,494.584
Intangible assets(figures in $M),HAS,814.6,1172.0,1530.835,646.305
Other long-term assets(figures in $M),HAS,1589.3,1297.0,1260.155,1725.859
Total non-current assets(figures in $M),HAS,6296.8,6309.7,6971.74,2108.107
Total assets(figures in $M),HAS,9295.9,10037.8,10818.385,8855.628
Current debt(figures in $M),HAS,255.6,200.9,439.197,0.503
Accounts payable(figures in $M),HAS,427.3,2255.0,1964.144,343.927
Taxes payable(figures in $M),HAS,44.8,30.9,0.0,0.0
Accrued liabilities(figures in $M),HAS,1032.0,1308.8,1152.673,717.831
Deferred revenues(figures in $M),HAS,111.3,114.1,161.018,0.0
Total current liabilities(figures in $M),HAS,2189.7,2455.9,2403.341,1257.082
Long-term debt(figures in $M),HAS,3711.2,3824.2,4660.015,4046.457
Other long-term liabilities(figures in $M),HAS,533.1,670.7,793.866,556.559
Total non-current liabilities(figures in $M),HAS,4244.3,4494.9,5453.881,4603.016
Total liabilities(figures in $M),HAS,6434.0,6950.8,7857.222,5860.098
Common stock(figures in $M),HAS,110.1,110.1,110.143,110.143
Retained earnings(figures in $M),HAS,4071.4,4257.8,4204.184,4354.619
Accumulated other comprehensive income(figures in $M),HAS,-254.9,-235.3,-194.953,-184.22
Total stockholders' equity(figures in $M),HAS,2861.9,3063.1,2936.737,2995.53
Total liabilities and stockholders' equity(figures in $M),HAS,9295.9,10037.8,10818.385,8855.628
