,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),RSG,143.4,29.0,38.2,47.1
Total cash(figures in $M),RSG,143.4,29.0,38.2,47.1
Net receivables(figures in $M),RSG,1677.2,1271.4,1091.3,1125.9
Inventory(figures in $M),RSG,96.6,72.2,59.1,56.8
Other current assets(figures in $M),RSG,536.5,3.0,6.7,8.0
Total current assets(figures in $M),RSG,2357.1,1710.8,1521.8,1606.0
"Gross property, plant and equipment(figures in $M)",RSG,22515.8,20037.3,18776.6,17900.2
Accumulated depreciation(figures in $M),RSG,-11496.7,-10549.9,-9831.6,-9273.1
"Net property, plant and equipment(figures in $M)",RSG,10743.2,9232.1,8726.2,8383.5
Equity and other investments(figures in $M),RSG,281.4,127.6,145.4,87.8
Goodwill(figures in $M),RSG,14451.5,12826.0,12046.4,11633.4
Intangible assets(figures in $M),RSG,347.2,259.5,173.1,133.9
Other long-term assets(figures in $M),RSG,1151.9,926.6,966.5,927.0
Total non-current assets(figures in $M),RSG,26693.8,23244.2,21912.2,21077.8
Total assets(figures in $M),RSG,29050.9,24955.0,23434.0,22683.8
Current debt(figures in $M),RSG,455.9,8.2,168.1,929.9
Accounts payable(figures in $M),RSG,1221.8,910.0,779.0,777.9
Accrued liabilities(figures in $M),RSG,1135.0,991.6,874.8,862.9
Deferred revenues(figures in $M),RSG,443.0,381.3,345.6,336.0
Other current liabilities(figures in $M),RSG,0.0,0.0,0.0,14.9
Total current liabilities(figures in $M),RSG,3388.3,2415.6,2282.0,3039.3
Long-term debt(figures in $M),RSG,11328.8,9546.2,8766.1,7758.6
Deferred tax liabilities(figures in $M),RSG,1528.8,1229.5,1238.8,1180.6
Other long-term liabilities(figures in $M),RSG,661.8,642.4,681.8,604.7
Total non-current liabilities(figures in $M),RSG,15975.8,13559.7,12663.2,11523.6
Total liabilities(figures in $M),RSG,19364.1,15975.3,14945.2,14562.9
Common stock(figures in $M),RSG,3.2,3.2,3.2,3.5
Retained earnings(figures in $M),RSG,7356.3,6475.6,5751.8,5317.3
Accumulated other comprehensive income(figures in $M),RSG,-12.1,-14.6,-12.4,2.2
Total stockholders' equity(figures in $M),RSG,9686.0,8978.9,8483.9,8118.2
Total liabilities and stockholders' equity(figures in $M),RSG,29050.9,24955.0,23434.0,22683.8
