,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),OKE,220.227,146.391,524.496,20.958
Total cash(figures in $M),OKE,220.227,146.391,524.496,20.958
Net receivables(figures in $M),OKE,1532.292,1441.786,829.796,835.121
Inventory(figures in $M),OKE,580.725,580.899,370.988,506.675
Other current assets(figures in $M),OKE,171.548,165.689,132.536,82.313
Total current assets(figures in $M),OKE,2547.775,2374.374,1869.775,1470.334
"Gross property, plant and equipment(figures in $M)",OKE,25015.135,23820.539,23072.935,22051.492
Accumulated depreciation(figures in $M),OKE,-5062.609,-4500.665,-3918.007,-3702.807
"Net property, plant and equipment(figures in $M)",OKE,19952.526,19319.874,19154.928,18348.685
Equity and other investments(figures in $M),OKE,801.794,797.613,805.032,861.844
Goodwill(figures in $M),OKE,527.592,527.592,527.592,680.996
Intangible assets(figures in $M),OKE,225.275,235.703,246.131,276.837
Other long-term assets(figures in $M),OKE,324.132,366.457,475.296,173.425
Total non-current assets(figures in $M),OKE,21831.319,21247.239,21208.979,20341.787
Total assets(figures in $M),OKE,24379.094,23621.613,23078.754,21812.121
Current debt(figures in $M),OKE,925.0,895.814,7.65,227.65
Accounts payable(figures in $M),OKE,1359.475,1332.391,719.302,1209.9
Accrued liabilities(figures in $M),OKE,233.053,235.602,245.153,190.75
Other current liabilities(figures in $M),OKE,521.81,609.492,269.404,390.049
Total current liabilities(figures in $M),OKE,3051.627,3184.619,1344.547,2020.298
Long-term debt(figures in $M),OKE,12695.834,12747.636,14228.421,12479.757
Deferred tax liabilities(figures in $M),OKE,1738.525,1166.69,669.697,536.063
Total non-current liabilities(figures in $M),OKE,14833.582,14421.831,15691.809,13565.872
Total liabilities(figures in $M),OKE,17885.209,17606.45,17036.356,15586.17
Common stock(figures in $M),OKE,4.749,4.749,4.749,4.45
Retained earnings(figures in $M),OKE,50.396,0.0,0.0,0.0
Accumulated other comprehensive income(figures in $M),OKE,-108.256,-471.351,-551.449,-374.0
Total stockholders' equity(figures in $M),OKE,6493.885,6015.163,6042.398,6225.951
Total liabilities and stockholders' equity(figures in $M),OKE,24379.094,23621.613,23078.754,21812.121
