,ticker,2022-06-30,2021-04-30,2020-04-30
Cash and cash equivalents(figures in $M),HRB,885.015,934.251,2661.914
Total cash(figures in $M),HRB,885.015,934.251,2661.914
Net receivables(figures in $M),HRB,58.447,197.876,133.197
Total current assets(figures in $M),HRB,1384.458,1699.724,3086.736
"Gross property, plant and equipment(figures in $M)",HRB,551.695,585.736,679.155
"Net property, plant and equipment(figures in $M)",HRB,551.695,585.736,679.155
Goodwill(figures in $M),HRB,760.401,757.659,712.138
Intangible assets(figures in $M),HRB,309.644,360.148,414.976
Other long-term assets(figures in $M),HRB,54.012,67.531,67.847
Total non-current assets(figures in $M),HRB,1884.7,1953.922,2025.311
Total assets(figures in $M),HRB,3269.158,3653.646,5112.047
Current debt(figures in $M),HRB,0.0,0.0,649.384
Accounts payable(figures in $M),HRB,160.929,198.084,203.103
Taxes payable(figures in $M),HRB,280.115,287.404,209.816
Accrued liabilities(figures in $M),HRB,154.764,270.982,116.375
Deferred revenues(figures in $M),HRB,196.107,200.216,201.401
Total current liabilities(figures in $M),HRB,998.813,1163.079,1575.616
Long-term debt(figures in $M),HRB,1486.876,1490.039,2845.873
Deferred tax liabilities(figures in $M),HRB,226.362,279.351,182.441
Deferred revenues(figures in $M),HRB,116.656,126.15,124.51
Total non-current liabilities(figures in $M),HRB,2058.714,2138.166,3465.39
Total liabilities(figures in $M),HRB,3057.527,3301.245,5041.006
Common stock(figures in $M),HRB,1.936,2.167,2.282
Retained earnings(figures in $M),HRB,120.405,248.506,42.965
Accumulated other comprehensive income(figures in $M),HRB,-21.645,4.786,-51.576
Total stockholders' equity(figures in $M),HRB,211.631,352.401,71.041
Total liabilities and stockholders' equity(figures in $M),HRB,3269.158,3653.646,5112.047
