,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),COF,34250.0,34250.0,30435.0,28523.0,28593.0
Interest expense(figures in $M),COF,4123.0,4123.0,1598.0,3120.0,5173.0
Income before tax(figures in $M),COF,9240.0,9240.0,15809.0,3203.0,6874.0
Income tax expense(figures in $M),COF,1880.0,1880.0,3415.0,486.0,1341.0
Income from continuing operations(figures in $M),COF,7360.0,7360.0,12394.0,2717.0,5533.0
Net income(figures in $M),COF,7360.0,7360.0,12390.0,2714.0,5546.0
Net income available to common shareholders(figures in $M),COF,7044.0,7044.0,11965.0,2375.0,5192.0
Basic EPS(figures in $M),COF,,,2.704e-05,5.19e-06,1.11e-05
Diluted EPS(figures in $M),COF,,,2.6940000000000003e-05,5.1799999999999995e-06,1.1050000000000001e-05
Basic average shares(figures in $M),COF,,,442.5,457.8,467.6
Diluted average shares(figures in $M),COF,,,444.2,458.9,469.9
