,ticker,2022-04-30,2021-04-30,2020-04-30
Cash and cash equivalents(figures in $M),MDT,3714.0,3593.0,4140.0
Other short-term investments(figures in $M),MDT,6859.0,7224.0,6808.0
Total cash(figures in $M),MDT,10573.0,10817.0,10948.0
Net receivables(figures in $M),MDT,5551.0,5462.0,4645.0
Inventory(figures in $M),MDT,4616.0,4313.0,4229.0
Other current assets(figures in $M),MDT,2319.0,1956.0,2209.0
Total current assets(figures in $M),MDT,23059.0,22548.0,22031.0
"Gross property, plant and equipment(figures in $M)",MDT,13365.0,12700.0,11644.0
Accumulated depreciation(figures in $M),MDT,-7952.0,-7479.0,-6816.0
"Net property, plant and equipment(figures in $M)",MDT,5413.0,5221.0,4828.0
Goodwill(figures in $M),MDT,40502.0,41961.0,39841.0
Intangible assets(figures in $M),MDT,15595.0,17740.0,19063.0
Other long-term assets(figures in $M),MDT,3008.0,2443.0,2094.0
Total non-current assets(figures in $M),MDT,67921.0,70534.0,68658.0
Total assets(figures in $M),MDT,90981.0,93083.0,90689.0
Current debt(figures in $M),MDT,3742.0,11.0,2776.0
Accounts payable(figures in $M),MDT,2276.0,2106.0,1996.0
Taxes payable(figures in $M),MDT,704.0,435.0,502.0
Accrued liabilities(figures in $M),MDT,3551.0,3475.0,2993.0
Total current liabilities(figures in $M),MDT,12394.0,8509.0,10366.0
Long-term debt(figures in $M),MDT,20372.0,26378.0,22021.0
Deferred tax liabilities(figures in $M),MDT,884.0,1028.0,1174.0
Other long-term liabilities(figures in $M),MDT,1409.0,1758.0,1664.0
Total non-current liabilities(figures in $M),MDT,25865.0,32972.0,29451.0
Total liabilities(figures in $M),MDT,38259.0,41481.0,39817.0
Common stock(figures in $M),MDT,0.0,0.0,0.0
Retained earnings(figures in $M),MDT,30250.0,28594.0,28132.0
Accumulated other comprehensive income(figures in $M),MDT,-2265.0,-3485.0,-3560.0
Total stockholders' equity(figures in $M),MDT,52551.0,51428.0,50737.0
Total liabilities and stockholders' equity(figures in $M),MDT,90981.0,93083.0,90689.0
