,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AVB,613.189,420.251,216.976,39.687
Total cash(figures in $M),AVB,613.189,420.251,216.976,39.687
Net receivables(figures in $M),AVB,0.0,18.594,18.159,0.0
Other current assets(figures in $M),AVB,247.461,0.0,0.0,0.0
Total current assets(figures in $M),AVB,771.06,596.139,362.502,161.838
"Gross property, plant and equipment(figures in $M)",AVB,143.331,146.599,155.266,124.961
"Net property, plant and equipment(figures in $M)",AVB,143.331,146.599,155.266,124.961
Equity and other investments(figures in $M),AVB,212.084,216.39,202.612,165.806
Other long-term assets(figures in $M),AVB,449.281,379.903,400.249,360.418
Total non-current assets(figures in $M),AVB,19686.704,19305.877,18836.642,18959.213
Total assets(figures in $M),AVB,20457.764,19902.016,19199.144,19121.051
Accounts payable(figures in $M),AVB,72.802,63.722,93.609,92.135
Accrued liabilities(figures in $M),AVB,360.286,346.306,323.732,321.167
Other current liabilities(figures in $M),AVB,0.0,0.304,0.311,0.375
Total current liabilities(figures in $M),AVB,0.0,0.0,0.0,0.0
Long-term debt(figures in $M),AVB,8316.045,8103.547,7564.337,7296.29
Deferred revenues(figures in $M),AVB,0.0,0.0,55.928,61.752
Other long-term liabilities(figures in $M),AVB,885.481,862.008,879.956,831.311
Total non-current liabilities(figures in $M),AVB,9201.526,8965.555,8444.293,8127.601
Total liabilities(figures in $M),AVB,9201.526,8965.555,8444.293,8127.601
Common stock(figures in $M),AVB,1.4,1.398,1.395,1.406
Retained earnings(figures in $M),AVB,485.221,240.821,126.022,282.913
Accumulated other comprehensive income(figures in $M),AVB,1.424,-26.106,-40.25,-31.503
Total stockholders' equity(figures in $M),AVB,11253.553,10933.093,10752.174,10990.198
Total liabilities and stockholders' equity(figures in $M),AVB,20457.764,19902.016,19199.144,19121.051
