,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),LNC,18913.0,18810.0,19230.0,17439.0,17258.0
Interest expense(figures in $M),LNC,283.0,283.0,270.0,284.0,326.0
Total other income/expenses net(figures in $M),LNC,796.0,765.0,823.0,699.0,31.0
Income before tax(figures in $M),LNC,-2811.0,1725.0,1638.0,423.0,919.0
Income tax expense(figures in $M),LNC,-584.0,367.0,233.0,-76.0,33.0
Income from continuing operations(figures in $M),LNC,-2227.0,1358.0,1405.0,499.0,886.0
Net income(figures in $M),LNC,-2227.0,1358.0,1405.0,499.0,886.0
Net income available to common shareholders(figures in $M),LNC,-2227.0,1358.0,1405.0,499.0,886.0
Basic EPS(figures in $M),LNC,,-1.311e-05,1.007e-05,2.58e-06,4.41e-06
Diluted EPS(figures in $M),LNC,,-1.3189999999999999e-05,9.980000000000001e-06,2.56e-06,4.3799999999999996e-06
Basic average shares(figures in $M),LNC,,171.035,187.36,193.61,200.609
Diluted average shares(figures in $M),LNC,,172.7,189.099,194.465,202.105
