,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CB,43124.0,43124.0,40963.0,35994.0,34186.0
Interest expense(figures in $M),CB,570.0,570.0,492.0,516.0,552.0
Income before tax(figures in $M),CB,6568.0,6568.0,9816.0,4162.0,5249.0
Income tax expense(figures in $M),CB,1255.0,1255.0,1277.0,629.0,795.0
Income from continuing operations(figures in $M),CB,5313.0,5313.0,8539.0,3533.0,4454.0
Net income(figures in $M),CB,5313.0,5313.0,8539.0,3533.0,4454.0
Net income available to common shareholders(figures in $M),CB,5313.0,5313.0,8539.0,3533.0,4454.0
Basic EPS(figures in $M),CB,,1.266e-05,2.0019999999999998e-05,7.82e-06,9.77e-06
Diluted EPS(figures in $M),CB,,1.255e-05,1.927e-05,7.79e-06,9.71e-06
Basic average shares(figures in $M),CB,,419.78,426.573,451.603,455.91
Diluted average shares(figures in $M),CB,,423.527,443.2,453.442,458.915
