,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Mscore,-3.189203596349362,-2.4380371616603886,-2.752232133423724,-2.640550320411783
Zscore,-3.370908376585767,-3.5780176920414037,-3.1675396353546152,-3.351501998416008
McKee,0.7866886571113894,0.8744231488687891,0.5805642333659958,0.5855921966703617
