,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),GNW,7507.0,7507.0,7832.0,8658.0,8096.0
Interest expense(figures in $M),GNW,106.0,106.0,160.0,202.0,239.0
Income before tax(figures in $M),GNW,978.0,978.0,1181.0,1031.0,714.0
Income tax expense(figures in $M),GNW,239.0,239.0,263.0,270.0,195.0
Income from continuing operations(figures in $M),GNW,739.0,739.0,918.0,761.0,519.0
Net income(figures in $M),GNW,609.0,609.0,904.0,178.0,343.0
Net income available to common shareholders(figures in $M),GNW,609.0,609.0,904.0,178.0,343.0
Basic EPS(figures in $M),GNW,,1.21e-06,1.7800000000000001e-06,3.5e-07,6.800000000000001e-07
Diluted EPS(figures in $M),GNW,,1.19e-06,1.76e-06,3.5e-07,6.7e-07
Basic average shares(figures in $M),GNW,,504.5,506.9,505.2,502.9
Diluted average shares(figures in $M),GNW,,511.0,514.7,511.6,509.7
