,ticker,2022-03-31,2021-03-31,2020-03-31
Cash and cash equivalents(figures in $M),MCHP,317.4,280.0,401.0
Other short-term investments(figures in $M),MCHP,2.0,2.0,2.0
Total cash(figures in $M),MCHP,319.4,282.0,403.0
Net receivables(figures in $M),MCHP,1072.6,997.7,934.0
Inventory(figures in $M),MCHP,854.4,665.0,685.7
Other current assets(figures in $M),MCHP,206.2,200.5,194.5
Total current assets(figures in $M),MCHP,2452.6,2145.2,2217.2
"Gross property, plant and equipment(figures in $M)",MCHP,3569.9,3251.0,3085.6
Accumulated depreciation(figures in $M),MCHP,-2448.7,-2242.0,-2090.0
"Net property, plant and equipment(figures in $M)",MCHP,967.9,854.7,876.1
Goodwill(figures in $M),MCHP,6673.6,6670.6,6664.8
Intangible assets(figures in $M),MCHP,4043.1,4794.8,5702.3
Other long-term assets(figures in $M),MCHP,12779.0,13478.9,14332.8
Total non-current assets(figures in $M),MCHP,13746.9,14333.6,15208.9
Total assets(figures in $M),MCHP,16199.5,16478.8,17426.1
Current debt(figures in $M),MCHP,0.0,1322.9,608.8
Accounts payable(figures in $M),MCHP,344.7,292.4,246.8
Taxes payable(figures in $M),MCHP,121.5,43.4,38.0
Accrued liabilities(figures in $M),MCHP,277.2,193.7,208.8
Total current liabilities(figures in $M),MCHP,1399.0,2409.6,1637.4
Long-term debt(figures in $M),MCHP,7687.4,7581.2,8873.4
Deferred tax liabilities(figures in $M),MCHP,39.8,43.9,318.5
Other long-term liabilities(figures in $M),MCHP,473.9,417.1,342.9
Total non-current liabilities(figures in $M),MCHP,8905.7,8732.1,10203.2
Total liabilities(figures in $M),MCHP,10304.7,11141.7,11840.6
Common stock(figures in $M),MCHP,0.6,0.3,0.2
Retained earnings(figures in $M),MCHP,4175.2,3393.5,3432.4
Accumulated other comprehensive income(figures in $M),MCHP,-20.6,-26.2,-21.6
Total stockholders' equity(figures in $M),MCHP,5894.8,5337.1,5585.5
Total liabilities and stockholders' equity(figures in $M),MCHP,16199.5,16478.8,17426.1
