,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),LSI,24.406,171.865,54.4,17.458
Total cash(figures in $M),LSI,24.406,171.865,54.4,17.458
Net receivables(figures in $M),LSI,24.153,17.784,15.464,12.218
Total current assets(figures in $M),LSI,60.484,199.9,79.254,38.749
Equity and other investments(figures in $M),LSI,275.19,213.003,143.042,154.984
Intangible assets(figures in $M),LSI,20.712,30.466,21.909,19.41
Other long-term assets(figures in $M),LSI,30.058,30.421,26.498,26.681
Total non-current assets(figures in $M),LSI,7327.246,6356.697,4648.594,4194.215
Total assets(figures in $M),LSI,7387.73,6556.597,4727.848,4232.964
Current debt(figures in $M),LSI,595.0,0.0,0.0,65.0
Deferred revenues(figures in $M),LSI,33.192,27.277,17.416,11.699
Total current liabilities(figures in $M),LSI,776.322,159.055,130.07,180.641
Long-term debt(figures in $M),LSI,2787.89,2784.868,2193.234,1893.122
Deferred revenues(figures in $M),LSI,0.0,0.0,0.0,11.699
Other long-term liabilities(figures in $M),LSI,0.0,0.0,0.0,26.307
Total non-current liabilities(figures in $M),LSI,2787.89,2784.868,2193.234,1893.122
Total liabilities(figures in $M),LSI,3564.212,2943.923,2323.304,2073.763
Common stock(figures in $M),LSI,0.85,0.836,0.495,0.467
Retained earnings(figures in $M),LSI,-261.51,-314.713,-288.667,-238.338
Accumulated other comprehensive income(figures in $M),LSI,-3.207,-4.124,-5.041,-5.958
Total stockholders' equity(figures in $M),LSI,3622.45,3378.999,2378.098,2132.894
Total liabilities and stockholders' equity(figures in $M),LSI,7387.73,6556.597,4727.848,4232.964
