,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),WHR,1958.0,3044.0,2924.0,1952.0
Total cash(figures in $M),WHR,1958.0,3044.0,2924.0,1952.0
Net receivables(figures in $M),WHR,1555.0,3100.0,3109.0,2198.0
Inventory(figures in $M),WHR,2089.0,2717.0,2187.0,2438.0
Other current assets(figures in $M),WHR,653.0,0.0,0.0,0.0
Total current assets(figures in $M),WHR,6394.0,9695.0,9015.0,7398.0
"Gross property, plant and equipment(figures in $M)",WHR,7601.0,10370.0,10968.0,10666.0
Accumulated depreciation(figures in $M),WHR,-4808.0,-6619.0,-6780.0,-6444.0
"Net property, plant and equipment(figures in $M)",WHR,2793.0,3751.0,4188.0,4222.0
Goodwill(figures in $M),WHR,3314.0,2485.0,2496.0,2440.0
Intangible assets(figures in $M),WHR,3164.0,1981.0,2194.0,2225.0
Other long-term assets(figures in $M),WHR,396.0,453.0,240.0,358.0
Total non-current assets(figures in $M),WHR,10730.0,10590.0,11335.0,11483.0
Total assets(figures in $M),WHR,17124.0,20285.0,20350.0,18881.0
Current debt(figures in $M),WHR,252.0,308.0,310.0,853.0
Accounts payable(figures in $M),WHR,3376.0,5413.0,4834.0,4547.0
Accrued liabilities(figures in $M),WHR,1104.0,1463.0,1468.0,1601.0
Other current liabilities(figures in $M),WHR,1040.0,750.0,1070.0,918.0
Total current liabilities(figures in $M),WHR,5931.0,8510.0,8330.0,8369.0
Long-term debt(figures in $M),WHR,7363.0,4929.0,5059.0,4140.0
Other long-term liabilities(figures in $M),WHR,460.0,519.0,732.0,612.0
Total non-current liabilities(figures in $M),WHR,8687.0,6762.0,7311.0,6394.0
Total liabilities(figures in $M),WHR,14618.0,15272.0,15641.0,14763.0
Common stock(figures in $M),WHR,114.0,114.0,113.0,112.0
Retained earnings(figures in $M),WHR,8261.0,10170.0,8639.0,7870.0
Accumulated other comprehensive income(figures in $M),WHR,-2090.0,-2357.0,-2811.0,-2618.0
Total stockholders' equity(figures in $M),WHR,2336.0,4846.0,3799.0,3195.0
Total liabilities and stockholders' equity(figures in $M),WHR,17124.0,20285.0,20350.0,18881.0
