,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FLR,2439.0,2209.382,2198.781,1997.199
Other short-term investments(figures in $M),FLR,185.0,127.222,23.345,7.262
Total cash(figures in $M),FLR,2624.0,2336.604,2222.126,2004.461
Net receivables(figures in $M),FLR,1109.0,901.228,1181.59,1075.254
Other current assets(figures in $M),FLR,396.0,538.27,424.849,359.371
Total current assets(figures in $M),FLR,5044.0,5562.642,5034.009,5516.272
"Gross property, plant and equipment(figures in $M)",FLR,1488.0,1290.669,1598.309,1386.417
Accumulated depreciation(figures in $M),FLR,-1041.0,-904.08,-1037.225,-843.377
"Net property, plant and equipment(figures in $M)",FLR,447.0,386.589,561.084,543.04
Equity and other investments(figures in $M),FLR,584.0,513.909,532.065,574.421
Goodwill(figures in $M),FLR,206.0,206.508,349.258,450.386
Other long-term assets(figures in $M),FLR,278.0,228.723,405.054,478.616
Total non-current assets(figures in $M),FLR,1783.0,1716.921,2275.803,2450.386
Total assets(figures in $M),FLR,6827.0,7279.563,7309.812,7966.658
Current debt(figures in $M),FLR,152.0,0.911,25.415,38.727
Accounts payable(figures in $M),FLR,1017.0,1098.55,1232.236,1357.749
Accrued liabilities(figures in $M),FLR,1305.0,1217.238,1127.667,993.61
Deferred revenues(figures in $M),FLR,742.0,890.698,1141.415,1120.237
Other current liabilities(figures in $M),FLR,0.0,696.663,45.304,421.738
Total current liabilities(figures in $M),FLR,3216.0,3904.06,3572.037,3932.061
Long-term debt(figures in $M),FLR,978.0,1167.366,1710.033,1651.739
Deferred tax liabilities(figures in $M),FLR,73.0,67.309,80.745,83.295
Other long-term liabilities(figures in $M),FLR,564.0,574.147,683.77,715.471
Total non-current liabilities(figures in $M),FLR,1615.0,1808.822,2474.548,2450.505
Total liabilities(figures in $M),FLR,4831.0,5712.882,6046.585,6382.566
Common stock(figures in $M),FLR,1.0,1.417,1.404,1.399
Retained earnings(figures in $M),FLR,896.0,790.442,1249.809,1700.912
Accumulated other comprehensive income(figures in $M),FLR,-365.0,-365.739,-416.906,-379.873
Total stockholders' equity(figures in $M),FLR,1786.0,1392.453,1030.247,1487.752
Total liabilities and stockholders' equity(figures in $M),FLR,6827.0,7279.563,7309.812,7966.658
