,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),MPC,8625.0,5291.0,555.0,1527.0
Other short-term investments(figures in $M),MPC,3145.0,5548.0,0.0,0.0
Total cash(figures in $M),MPC,11770.0,10839.0,555.0,1527.0
Net receivables(figures in $M),MPC,13477.0,11034.0,5760.0,7872.0
Inventory(figures in $M),MPC,8827.0,8055.0,7999.0,10243.0
Other current assets(figures in $M),MPC,1168.0,568.0,2724.0,528.0
Total current assets(figures in $M),MPC,35242.0,30496.0,28287.0,20170.0
"Gross property, plant and equipment(figures in $M)",MPC,62715.0,62005.0,60860.0,67082.0
Accumulated depreciation(figures in $M),MPC,-25844.0,-23193.0,-20304.0,-19008.0
"Net property, plant and equipment(figures in $M)",MPC,36871.0,38812.0,40556.0,48074.0
Equity and other investments(figures in $M),MPC,6466.0,5409.0,5422.0,6898.0
Goodwill(figures in $M),MPC,8244.0,8256.0,8256.0,20040.0
Intangible assets(figures in $M),MPC,0.0,2135.0,2360.0,2928.0
Other long-term assets(figures in $M),MPC,3081.0,2400.0,2637.0,3374.0
Total non-current assets(figures in $M),MPC,54662.0,54877.0,56871.0,78386.0
Total assets(figures in $M),MPC,89904.0,85373.0,85158.0,98556.0
Current debt(figures in $M),MPC,1066.0,571.0,2854.0,711.0
Accounts payable(figures in $M),MPC,15312.0,13700.0,7803.0,11623.0
Accrued liabilities(figures in $M),MPC,967.0,911.0,732.0,1126.0
Other current liabilities(figures in $M),MPC,1167.0,1047.0,2672.0,897.0
Total current liabilities(figures in $M),MPC,20020.0,17898.0,15663.0,16147.0
Long-term debt(figures in $M),MPC,25634.0,24968.0,28730.0,28127.0
Deferred tax liabilities(figures in $M),MPC,5904.0,5638.0,6203.0,6392.0
Other long-term liabilities(figures in $M),MPC,1304.0,0.0,0.0,0.0
Total non-current liabilities(figures in $M),MPC,34797.0,33894.0,39275.0,39302.0
Total liabilities(figures in $M),MPC,54817.0,51792.0,54938.0,55449.0
Common stock(figures in $M),MPC,10.0,10.0,10.0,10.0
Retained earnings(figures in $M),MPC,26142.0,12905.0,4650.0,15990.0
Accumulated other comprehensive income(figures in $M),MPC,2.0,-67.0,-512.0,-320.0
Total stockholders' equity(figures in $M),MPC,27715.0,26206.0,22199.0,33694.0
Total liabilities and stockholders' equity(figures in $M),MPC,89904.0,85373.0,85158.0,98556.0
