,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),RF,155220.0,162938.0,147389.0,126240.0
Total liabilities(figures in $M),RF,139269.0,144612.0,129278.0,109945.0
Common stock(figures in $M),RF,1669.0,1669.0,1666.0,1320.0
Retained earnings(figures in $M),RF,7004.0,5550.0,3770.0,3751.0
Accumulated other comprehensive income(figures in $M),RF,-3343.0,289.0,1315.0,-90.0
Total stockholders' equity(figures in $M),RF,15947.0,18326.0,18111.0,16295.0
Total liabilities and stockholders' equity(figures in $M),RF,155220.0,162938.0,147389.0,126240.0
