,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DFS,13337.0,13337.0,12087.0,11088.0,11459.0
Interest expense(figures in $M),DFS,1865.0,1865.0,1134.0,1865.0,2530.0
Income before tax(figures in $M),DFS,5742.0,5742.0,7064.0,1435.0,3835.0
Income tax expense(figures in $M),DFS,1350.0,1350.0,1615.0,294.0,878.0
Income from continuing operations(figures in $M),DFS,4392.0,4392.0,5449.0,1141.0,2957.0
Net income(figures in $M),DFS,4392.0,4392.0,5449.0,1141.0,2957.0
Net income available to common shareholders(figures in $M),DFS,4304.0,4304.0,5351.0,1104.0,2908.0
Basic EPS(figures in $M),DFS,,,1.785e-05,3.6000000000000003e-06,9.09e-06
Diluted EPS(figures in $M),DFS,,,1.7829999999999997e-05,3.6000000000000003e-06,9.08e-06
Basic average shares(figures in $M),DFS,,,300.0,307.0,320.0
Diluted average shares(figures in $M),DFS,,,300.0,307.0,320.0
