,ticker,2022-04-30,2021-04-30,2020-04-30
Cash and cash equivalents(figures in $M),PDCO,142.014,143.244,77.944
Total cash(figures in $M),PDCO,142.014,143.244,77.944
Net receivables(figures in $M),PDCO,447.162,449.235,416.523
Inventory(figures in $M),PDCO,785.604,736.778,812.194
Total current assets(figures in $M),PDCO,1679.022,1615.929,1542.765
"Gross property, plant and equipment(figures in $M)",PDCO,283.862,296.655,382.746
Accumulated depreciation(figures in $M),PDCO,-408.353,-393.079,-354.91
"Net property, plant and equipment(figures in $M)",PDCO,283.862,296.655,382.746
Equity and other investments(figures in $M),PDCO,139.182,105.522,0.0
Goodwill(figures in $M),PDCO,140.63,139.932,138.724
Intangible assets(figures in $M),PDCO,252.614,279.644,313.505
Other long-term assets(figures in $M),PDCO,107.508,89.859,122.695
Total non-current assets(figures in $M),PDCO,1062.608,1135.582,1172.585
Total assets(figures in $M),PDCO,2741.63,2751.511,2715.35
Current debt(figures in $M),PDCO,29.0,153.75,0.0
Accounts payable(figures in $M),PDCO,681.321,609.264,862.093
Accrued liabilities(figures in $M),PDCO,276.0,294.4,182.099
Total current liabilities(figures in $M),PDCO,1015.669,1089.666,1074.898
Long-term debt(figures in $M),PDCO,488.554,487.545,587.766
Deferred tax liabilities(figures in $M),PDCO,120.414,124.491,134.547
Other long-term liabilities(figures in $M),PDCO,151.44,161.311,166.388
Total non-current liabilities(figures in $M),PDCO,683.326,697.174,804.008
Total liabilities(figures in $M),PDCO,1698.995,1786.84,1878.906
Common stock(figures in $M),PDCO,0.968,0.968,0.959
Retained earnings(figures in $M),PDCO,921.704,855.741,799.652
Accumulated other comprehensive income(figures in $M),PDCO,-81.516,-62.592,-97.039
Total stockholders' equity(figures in $M),PDCO,1042.635,964.671,836.444
Total liabilities and stockholders' equity(figures in $M),PDCO,2741.63,2751.511,2715.35
