,headline,final_score,datetime
0,Oil's Plunge Will Likely Set Crude Up For A Significant Rebound,86,2023-05-04 23:30:57
1,Q1 2023 Marathon Oil Corp Earnings Call,90,2023-05-04 21:41:10
2,Marathon Oil Is A Buyback Monster,86,2023-05-04 06:39:16
3,Marathon Oil Corporation (MRO) Q1 2023 Earnings Call Transcript,90,2023-05-04 06:26:10
4,Siebert Williams Shank & Co Keeps Their Buy Rating on Marathon Oil (MRO),86,2023-05-03 22:45:00
5,"Analysts` Top Utilities Picks: APA (APA), Marathon Oil (MRO)",86,2023-05-03 22:40:00
6,"Marathon, APA profits beat on higher oil price, tighter supply",86,2023-05-03 15:49:48
7,Marathon Oil (MRO) Beats Q1 Earnings and Revenue Estimates,86,2023-05-03 15:05:10
8,Marathon Oil beats first-quarter profit estimate,86,2023-05-03 13:33:12
9,Marathon Oil Reports First Quarter 2023 Results,86,2023-05-03 13:30:00
10,Marathon Oil: Q1 Earnings Snapshot,86,2023-05-03 10:01:00
12,Marathon Oil Corp. stock underperforms Wednesday when compared to competitors,90,2023-05-02 21:13:00
13,Marathon Oil beats Q1 top and bottom line estimates; reaffirms FY23 outlook,86,2023-05-02 20:38:00
14,Marathon Oil backs FY23 CapEx view $1.9B-$2B,86,2023-05-02 20:33:00
15,"Marathon Oil reports Q1 EPS 67c, consensus 60c",86,2023-05-02 20:32:00
16,"Energy stocks suffer broad selloff, led by Halliburton, as crude oil falls to more than 5-week low",86,2023-05-02 07:49:00
17,Lower Oil Prices Could Slash Marathon Oil's Q1 Profit,86,2023-05-02 07:19:42
18,Alaska Energy Metals Corporation Announces New Director Appointment,56,2023-05-02 05:00:00
20,"Marathon Oil Corp. stock falls Tuesday, underperforms market",90,2023-05-01 21:12:00
21,Energy stocks crushed along with crude oil as economic outlook sours,86,2023-05-01 19:55:00
22,Marathon Oil put volume heavy and directionally bearish,86,2023-05-01 18:15:00
23,Marathon Oil Corp. stock outperforms competitors despite losses on the day,90,2023-05-01 10:10:00
24,Marathon Oil's (NYSE:MRO) Dividend Will Be Increased To $0.10,86,2023-04-30 05:09:38
25,"Marathon Oil Corp. stock rises Friday, outperforms market",90,2023-04-28 10:11:00
26,Marathon Oil (MRO) Declares $0.10 Dividend,86,2023-04-27 19:36:41
27,Marathon Oil (MRO) Gains But Lags Market: What You Should Know,86,2023-04-27 14:45:09
28,"Marathon Oil Corp. stock rises Thursday, still underperforms market",90,2023-04-27 10:12:00
30,June 9th Options Now Available For Marathon Oil (MRO),86,2023-04-27 02:59:00
31,Marathon Oil (MRO) Dips More Than Broader Markets: What You Should Know,86,2023-04-26 14:50:09
32,Marathon Oil Corporation Declares First-Quarter 2023 Dividend,90,2023-04-26 13:30:00
33,"Marathon Oil Corp. stock falls Wednesday, underperforms market",90,2023-04-26 10:11:00
34,Analysts Estimate Marathon Oil (MRO) to Report a Decline in Earnings: What to Look Out for,86,2023-04-26 07:02:02
36,Marathon Oil declares $0.10 dividend,86,2023-04-25 21:16:00
37,Marathon Oil Corp. stock underperforms Tuesday when compared to competitors,90,2023-04-25 10:11:00
38,Marathon Oil Corp. stock outperforms competitors on strong trading day,90,2023-04-24 10:11:00
40,"Marathon Oil Corp. stock falls Friday, underperforms market",90,2023-04-21 10:11:00
