,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Mscore,-2.6068477881215153,-2.0467711023135227,-2.9346317560474686,-2.9167198485119847
Zscore,-0.7460885687133769,-0.8908057014594292,-0.5971441347934577,-0.9055384777861636
McKee,0.9486617698231132,0.9307461961176721,0.8060707042793696,0.74433343433268
