,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),UNM,11881.9,11991.0,12013.8,13162.1,11998.9
Interest expense(figures in $M),UNM,188.5,188.5,185.0,188.2,177.4
Total other income/expenses net(figures in $M),UNM,261.1,261.1,242.9,224.2,221.2
Income before tax(figures in $M),UNM,1631.4,1631.4,1063.0,964.0,1382.1
Income tax expense(figures in $M),UNM,317.2,317.2,238.8,171.0,281.8
Income from continuing operations(figures in $M),UNM,1314.2,1314.2,824.2,793.0,1100.3
Net income(figures in $M),UNM,1314.2,1314.2,824.2,793.0,1100.3
Net income available to common shareholders(figures in $M),UNM,1314.2,1314.2,824.2,793.0,1100.3
Basic EPS(figures in $M),UNM,,6.55e-06,4.04e-06,3.89e-06,5.25e-06
Diluted EPS(figures in $M),UNM,,6.5e-06,4.02e-06,3.89e-06,5.24e-06
Basic average shares(figures in $M),UNM,,200.647,204.233,203.6,209.7
Diluted average shares(figures in $M),UNM,,202.109,204.848,203.8,209.9
