,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MET,69898.0,69898.0,71080.0,67842.0,69620.0
Interest expense(figures in $M),MET,938.0,938.0,920.0,913.0,955.0
Total other income/expenses net(figures in $M),MET,2634.0,2634.0,2619.0,1849.0,1842.0
Income before tax(figures in $M),MET,2859.0,2859.0,8126.0,6927.0,6795.0
Income tax expense(figures in $M),MET,301.0,301.0,1551.0,1509.0,886.0
Income from continuing operations(figures in $M),MET,2558.0,2558.0,6575.0,5418.0,5909.0
Net income(figures in $M),MET,2539.0,2539.0,6554.0,5407.0,5899.0
Net income available to common shareholders(figures in $M),MET,2354.0,2354.0,6353.0,5191.0,5721.0
Basic EPS(figures in $M),MET,,2.9300000000000003e-06,7.360000000000001e-06,5.7199999999999994e-06,6.25e-06
Diluted EPS(figures in $M),MET,,2.91e-06,7.3099999999999995e-06,5.68e-06,6.25e-06
Basic average shares(figures in $M),MET,,803.2,862.7,907.8,915.338
Diluted average shares(figures in $M),MET,,808.9,869.4,913.2,915.338
