,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),IPG,2545.3,3270.0,2509.0,1192.2
Total cash(figures in $M),IPG,2545.3,3270.0,2509.0,1192.2
Net receivables(figures in $M),IPG,7339.0,7524.9,6467.1,7143.3
Other current assets(figures in $M),IPG,435.0,428.7,390.7,412.4
Total current assets(figures in $M),IPG,10325.2,11231.8,9367.6,8770.7
"Gross property, plant and equipment(figures in $M)",IPG,3159.7,3421.8,3203.5,3468.9
Accumulated depreciation(figures in $M),IPG,-1244.8,-1201.6,-1133.9,-1116.4
"Net property, plant and equipment(figures in $M)",IPG,1914.9,2220.2,2069.6,2352.5
Goodwill(figures in $M),IPG,5050.6,4908.7,4945.5,4894.4
Intangible assets(figures in $M),IPG,818.1,847.5,933.1,1014.3
Other long-term assets(figures in $M),IPG,464.5,399.6,424.4,467.9
Total non-current assets(figures in $M),IPG,8519.8,8677.4,8674.6,8981.2
Total assets(figures in $M),IPG,18845.0,19909.2,18042.7,17751.9
Current debt(figures in $M),IPG,44.9,48.2,550.5,554.4
Accounts payable(figures in $M),IPG,8235.3,8960.0,7269.7,7205.4
Taxes payable(figures in $M),IPG,64.7,42.8,50.6,0.0
Accrued liabilities(figures in $M),IPG,722.4,875.3,781.8,742.8
Deferred revenues(figures in $M),IPG,680.0,688.5,657.8,585.6
Other current liabilities(figures in $M),IPG,0.0,9.4,1.6,65.0
Total current liabilities(figures in $M),IPG,9983.2,10890.0,9580.5,9420.4
Long-term debt(figures in $M),IPG,2870.7,2908.6,2915.8,2771.9
Other long-term liabilities(figures in $M),IPG,572.6,600.7,655.2,714.7
Total non-current liabilities(figures in $M),IPG,5117.5,5414.4,5425.2,5341.2
Total liabilities(figures in $M),IPG,15100.7,16304.4,15005.7,14761.6
Common stock(figures in $M),IPG,38.9,39.3,39.0,38.7
Retained earnings(figures in $M),IPG,3632.1,3154.3,2636.9,2689.9
Accumulated other comprehensive income(figures in $M),IPG,-960.4,-894.2,-880.2,-930.0
Total stockholders' equity(figures in $M),IPG,3647.9,3526.0,2895.0,2775.9
Total liabilities and stockholders' equity(figures in $M),IPG,18845.0,19909.2,18042.7,17751.9
