,ticker,sentiment
2023-04-27 02:44:59,INTC,-0.5994
2023-04-27 04:00:48,INTC,-0.6597
2023-04-27 06:00:12,INTC,-0.1531
2023-04-27 06:54:43,INTC,0.9153
2023-04-27 08:41:34,INTC,-0.6124
2023-04-27 09:12:59,INTC,-0.3182
2023-04-27 09:18:00,INTC,0.2846
2023-04-27 10:19:38,INTC,0.1779
2023-04-27 11:04:53,INTC,0.1779
2023-04-27 11:30:05,INTC,0.4215
2023-04-27 12:00:05,INTC,-0.128
2023-04-27 13:10:17,INTC,0.4939
2023-04-27 13:19:31,INTC,0.6369
2023-04-27 13:26:58,INTC,-0.4019
2023-04-27 13:40:55,INTC,-0.3182
2023-04-27 14:15:13,INTC,0.1779
2023-04-27 14:35:09,INTC,0.25
2023-04-27 15:50:00,INTC,-0.7506
2023-04-27 16:44:08,INTC,0.296
2023-04-27 19:35:00,INTC,-0.5719
2023-04-27 20:00:00,INTC,0.5574
2023-04-27 20:07:00,INTC,0.5106
2023-04-27 20:20:00,INTC,-0.296
2023-04-27 20:30:09,INTC,-0.5719
2023-04-27 21:43:00,INTC,0.6808
2023-04-27 22:27:00,INTC,0.5106
2023-04-27 23:49:00,INTC,-0.3291
2023-04-28 00:01:00,INTC,-0.3182
2023-04-28 00:08:00,INTC,0.1531
2023-04-28 00:14:00,INTC,0.7351
2023-04-28 00:25:00,INTC,-0.4404
2023-04-28 00:30:00,INTC,-0.34
2023-04-28 00:42:00,INTC,0.1779
2023-04-28 00:44:00,INTC,0.7351
2023-04-28 00:55:00,INTC,0.4588
2023-04-28 01:45:00,INTC,0.1779
2023-04-28 01:49:00,INTC,0.2023
2023-04-28 03:06:00,INTC,0.5574
2023-04-28 03:57:00,INTC,0.5719
2023-04-28 04:07:00,INTC,0.5574
2023-04-28 04:26:20,INTC,-0.4939
2023-04-28 04:28:00,INTC,-0.296
2023-04-28 04:43:00,INTC,0.5574
2023-04-28 05:28:18,INTC,0.1779
2023-04-28 06:32:12,INTC,0.2411
2023-04-28 07:00:00,INTC,-0.4404
2023-04-28 07:08:27,INTC,-0.6486
2023-04-28 07:10:21,INTC,0.6705
2023-04-28 07:13:20,INTC,0.4767
2023-04-28 07:42:02,INTC,-0.3182
2023-04-28 07:51:57,INTC,0.296
2023-04-28 07:52:59,INTC,0.4767
2023-04-28 08:00:51,INTC,-0.5423
2023-04-28 08:12:38,INTC,-0.4019
2023-04-28 08:42:35,INTC,0.5574
2023-04-28 08:56:00,INTC,0.5574
2023-04-28 09:02:02,INTC,0.3818
2023-04-28 09:12:00,INTC,0.1779
2023-04-28 09:26:18,INTC,0.6369
2023-04-28 09:59:07,INTC,0.296
2023-04-28 11:01:58,INTC,0.5719
2023-04-28 11:22:48,INTC,0.128
2023-04-28 13:00:57,INTC,0.128
2023-04-29 04:00:00,INTC,-0.0772
2023-04-29 04:02:00,INTC,0.5777
2023-04-29 04:55:43,INTC,-0.636
2023-04-29 05:51:37,INTC,0.1779
2023-04-29 06:06:03,INTC,0.34
2023-04-30 03:30:00,INTC,0.4767
2023-04-30 20:34:00,INTC,0.4404
2023-05-01 03:45:00,INTC,0.5574
2023-05-01 04:30:00,INTC,-0.296
2023-05-01 05:00:01,INTC,0.4939
2023-05-01 05:40:34,INTC,0.5187
2023-05-01 09:15:00,INTC,-0.5413
2023-05-01 09:25:00,INTC,-0.296
2023-05-01 13:00:00,INTC,-0.2263
2023-05-01 16:53:08,INTC,0.4019
2023-05-01 23:30:49,INTC,0.6369
2023-05-02 02:00:00,INTC,-0.0772
2023-05-02 03:14:00,INTC,0.2732
2023-05-02 03:18:00,INTC,0.34
2023-05-02 04:00:25,INTC,0.4019
2023-05-02 05:00:00,INTC,0.0258
2023-05-02 05:25:00,INTC,-0.4404
2023-05-02 09:46:43,INTC,-0.3818
2023-05-02 10:01:00,INTC,0.3089
2023-05-02 11:45:47,INTC,-0.5927
2023-05-03 01:17:00,INTC,0.4588
2023-05-03 01:47:00,INTC,0.2924
2023-05-03 02:05:00,INTC,0.6369
2023-05-03 03:09:00,INTC,0.6369
2023-05-03 05:00:00,INTC,0.6369
2023-05-03 06:02:02,INTC,0.296
2023-05-03 07:00:00,INTC,0.5574
2023-05-03 08:57:10,INTC,-0.2263
2023-05-03 09:51:35,INTC,0.296
2023-05-03 10:02:00,INTC,0.5106
2023-05-03 19:40:00,INTC,0.4588
2023-05-03 19:41:25,INTC,0.2263
2023-05-03 19:47:00,INTC,0.4019
2023-05-03 21:38:00,INTC,0.3182
2023-05-03 22:35:00,INTC,0.2755
2023-05-04 02:27:00,INTC,-0.4404
2023-05-04 03:09:45,INTC,0.5719
2023-05-04 04:18:26,INTC,0.5859
2023-05-04 04:47:00,INTC,-0.3182
2023-05-04 04:58:00,INTC,-0.4404
2023-05-04 05:45:45,INTC,-0.3182
2023-05-04 06:27:00,INTC,0.5106
2023-05-04 13:38:25,INTC,-0.5719
2023-05-04 13:39:41,INTC,0.4404
2023-05-04 13:59:08,INTC,-0.2023
