,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),HBAN,7254.0,7254.0,5991.0,4815.0,4667.0
Interest expense(figures in $M),HBAN,696.0,696.0,89.0,423.0,988.0
Income before tax(figures in $M),HBAN,2764.0,2764.0,1591.0,972.0,1659.0
Income tax expense(figures in $M),HBAN,515.0,515.0,294.0,155.0,248.0
Income from continuing operations(figures in $M),HBAN,2249.0,2249.0,1297.0,817.0,1411.0
Net income(figures in $M),HBAN,2238.0,2238.0,1295.0,817.0,1411.0
Net income available to common shareholders(figures in $M),HBAN,2125.0,2125.0,1153.0,717.0,1337.0
Basic EPS(figures in $M),HBAN,,,9.100000000000001e-07,7.1e-07,1.29e-06
Diluted EPS(figures in $M),HBAN,,,9.000000000000001e-07,6.9e-07,1.2700000000000001e-06
Basic average shares(figures in $M),HBAN,,,1262.0,1017.0,1038.84
Diluted average shares(figures in $M),HBAN,,,1287.0,1033.0,1056.079
