,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),HBAN,182906.0,174064.0,123038.0,109002.0
Total liabilities(figures in $M),HBAN,165137.0,154746.0,110045.0,97207.0
Common stock(figures in $M),HBAN,2181.0,2181.0,2201.0,1213.0
Retained earnings(figures in $M),HBAN,3419.0,2202.0,1878.0,2088.0
Accumulated other comprehensive income(figures in $M),HBAN,-3098.0,-229.0,192.0,-256.0
Total stockholders' equity(figures in $M),HBAN,17731.0,19297.0,12993.0,11795.0
Total liabilities and stockholders' equity(figures in $M),HBAN,182906.0,174064.0,123038.0,109002.0
