,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MS,50210.0,50210.0,56414.0,45269.0,38926.0
Interest expense(figures in $M),MS,12268.0,12268.0,1366.0,3849.0,12404.0
Income before tax(figures in $M),MS,14089.0,14089.0,19668.0,14418.0,11301.0
Income tax expense(figures in $M),MS,2910.0,2910.0,4548.0,3239.0,2064.0
Income from continuing operations(figures in $M),MS,11179.0,11179.0,15120.0,11179.0,9237.0
Net income(figures in $M),MS,11029.0,11029.0,15034.0,10996.0,9042.0
Net income available to common shareholders(figures in $M),MS,10540.0,10540.0,14566.0,10500.0,8512.0
Basic EPS(figures in $M),MS,,6.2300000000000005e-06,8.16e-06,6.55e-06,5.26e-06
Diluted EPS(figures in $M),MS,,6.15e-06,8.03e-06,6.46e-06,5.19e-06
Basic average shares(figures in $M),MS,,1691.0,1785.0,1603.0,1617.0
Diluted average shares(figures in $M),MS,,1713.0,1814.0,1624.0,1640.0
