,ticker,sentiment
2023-04-07 08:00:00,ETR,0.1779
2023-04-11 22:50:00,ETR,-0.128
2023-04-12 21:02:00,ETR,0.296
2023-04-14 03:24:47,ETR,-0.1027
2023-04-14 07:10:02,ETR,0.2732
2023-04-17 05:44:35,ETR,0.4939
2023-04-17 09:53:00,ETR,0.5106
2023-04-17 12:56:07,ETR,0.6369
2023-04-18 16:37:48,ETR,0.0085
2023-04-18 17:05:00,ETR,0.4939
2023-04-19 07:01:02,ETR,0.3818
2023-04-20 08:15:00,ETR,0.7579
2023-04-24 01:46:00,ETR,-0.128
2023-04-24 09:53:00,ETR,0.5106
2023-04-24 14:50:00,ETR,0.4767
2023-04-25 09:53:00,ETR,0.3089
2023-04-25 10:27:32,ETR,0.4404
2023-04-25 22:36:00,ETR,-0.2263
2023-04-25 22:45:00,ETR,-0.0516
2023-04-26 04:30:06,ETR,0.25
2023-04-26 04:55:11,ETR,-0.34
2023-04-26 08:41:03,ETR,-0.1531
2023-04-26 10:52:17,ETR,0.5106
2023-04-27 04:00:59,ETR,0.4215
2023-04-27 08:07:03,ETR,0.2732
2023-04-27 09:02:04,ETR,0.2732
2023-04-29 23:08:02,ETR,0.7096
2023-05-01 20:54:00,ETR,0.3089
2023-05-03 10:09:51,ETR,0.34
2023-05-04 12:19:07,ETR,0.2732
2023-05-04 12:23:07,ETR,-0.34
2023-05-05 04:40:11,ETR,0.3182
