,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),HUM,92870.0,92870.0,83064.0,77155.0,64888.0
Interest expense(figures in $M),HUM,401.0,401.0,326.0,283.0,242.0
Income before tax(figures in $M),HUM,3568.0,3568.0,3354.0,4600.0,3456.0
Income tax expense(figures in $M),HUM,762.0,762.0,485.0,1307.0,763.0
Income from continuing operations(figures in $M),HUM,2802.0,2802.0,2934.0,3367.0,2707.0
Net income(figures in $M),HUM,2806.0,2806.0,2933.0,3367.0,2707.0
Net income available to common shareholders(figures in $M),HUM,2806.0,2806.0,2933.0,3367.0,2707.0
Basic EPS(figures in $M),HUM,,,2.279e-05,2.547e-05,2.02e-05
Diluted EPS(figures in $M),HUM,,,2.267e-05,2.531e-05,2.01e-05
Basic average shares(figures in $M),HUM,,,128.688,132.199,134.055
Diluted average shares(figures in $M),HUM,,,129.396,133.012,134.727
