,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),EFX,285.2,224.7,1684.6,401.3
Total cash(figures in $M),EFX,285.2,224.7,1684.6,401.3
Net receivables(figures in $M),EFX,857.7,727.6,630.6,532.1
Other current assets(figures in $M),EFX,93.3,60.2,59.0,187.9
Total current assets(figures in $M),EFX,1370.5,1120.9,2478.3,1209.4
"Gross property, plant and equipment(figures in $M)",EFX,2682.1,2277.2,1913.5,1540.8
Accumulated depreciation(figures in $M),EFX,-1095.1,-961.3,-774.1,-593.2
"Net property, plant and equipment(figures in $M)",EFX,1587.0,1315.9,1139.4,947.6
Goodwill(figures in $M),EFX,6383.9,6258.1,4495.8,4308.3
Intangible assets(figures in $M),EFX,1913.3,1992.9,1092.7,1139.5
Other long-term assets(figures in $M),EFX,293.2,353.1,405.6,304.2
Total non-current assets(figures in $M),EFX,10177.4,9920.0,7133.5,6699.6
Total assets(figures in $M),EFX,11547.9,11040.9,9611.8,7909.0
Current debt(figures in $M),EFX,967.2,824.8,1101.1,3.1
Accounts payable(figures in $M),EFX,250.8,211.6,159.1,148.3
Accrued liabilities(figures in $M),EFX,367.7,495.4,502.1,319.6
Deferred revenues(figures in $M),EFX,132.9,121.3,108.3,104.0
Other current liabilities(figures in $M),EFX,296.6,638.2,612.5,784.1
Total current liabilities(figures in $M),EFX,2015.2,2291.3,2483.1,1359.1
Long-term debt(figures in $M),EFX,4820.1,4470.1,3277.3,3379.5
Deferred tax liabilities(figures in $M),EFX,460.3,358.2,332.3,248.0
Other long-term liabilities(figures in $M),EFX,178.6,190.0,178.1,180.6
Total non-current liabilities(figures in $M),EFX,5559.4,5148.4,3918.4,3927.0
Total liabilities(figures in $M),EFX,7574.6,7439.7,6401.5,5286.1
Common stock(figures in $M),EFX,236.6,236.6,236.6,236.6
Retained earnings(figures in $M),EFX,5256.0,4751.6,4185.4,4131.8
Accumulated other comprehensive income(figures in $M),EFX,-473.7,-295.4,-171.4,-631.6
Total stockholders' equity(figures in $M),EFX,3956.5,3584.4,3168.4,2578.6
Total liabilities and stockholders' equity(figures in $M),EFX,11547.9,11040.9,9611.8,7909.0
