,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FLS,434.971,658.452,1095.274,670.98
Total cash(figures in $M),FLS,434.971,658.452,1095.274,670.98
Net receivables(figures in $M),FLS,868.632,739.21,753.462,795.538
Inventory(figures in $M),FLS,803.198,678.287,667.228,660.837
Other current assets(figures in $M),FLS,110.714,117.13,110.635,105.101
Total current assets(figures in $M),FLS,2450.972,2388.677,2904.333,2505.37
"Gross property, plant and equipment(figures in $M)",FLS,675.925,709.79,764.998,758.393
Accumulated depreciation(figures in $M),FLS,-1172.956,-1191.823,-1093.348,-1047.854
"Net property, plant and equipment(figures in $M)",FLS,675.925,709.79,764.998,758.393
Goodwill(figures in $M),FLS,1168.124,1196.479,1224.886,1193.01
Intangible assets(figures in $M),FLS,134.503,152.463,168.496,180.805
Other long-term assets(figures in $M),FLS,211.82,258.31,221.426,227.185
Total non-current assets(figures in $M),FLS,2339.662,2361.091,2410.344,2414.272
Total assets(figures in $M),FLS,4790.634,4749.768,5314.677,4919.642
Current debt(figures in $M),FLS,49.335,41.058,8.995,11.272
Accounts payable(figures in $M),FLS,476.747,410.062,440.199,447.582
Taxes payable(figures in $M),FLS,32.968,47.186,31.378,20.018
Accrued liabilities(figures in $M),FLS,427.578,445.092,463.222,401.385
Deferred revenues(figures in $M),FLS,256.963,202.965,194.227,216.541
Total current liabilities(figures in $M),FLS,1243.151,1131.805,1141.633,1112.888
Long-term debt(figures in $M),FLS,1224.151,1261.77,1717.911,1365.977
Total non-current liabilities(figures in $M),FLS,1688.876,1780.618,2410.244,1990.795
Total liabilities(figures in $M),FLS,2932.027,2912.423,3551.877,3103.683
Common stock(figures in $M),FLS,220.991,220.991,220.991,220.991
Retained earnings(figures in $M),FLS,3774.209,3691.023,3656.449,3695.862
Accumulated other comprehensive income(figures in $M),FLS,-640.809,-556.375,-587.888,-575.958
Total stockholders' equity(figures in $M),FLS,1824.993,1804.319,1732.47,1790.357
Total liabilities and stockholders' equity(figures in $M),FLS,4790.634,4749.768,5314.677,4919.642
