,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),TRV,36896.0,36884.0,34816.0,31981.0,31581.0
Interest expense(figures in $M),TRV,351.0,351.0,340.0,339.0,344.0
Total other income/expenses net(figures in $M),TRV,351.0,351.0,355.0,279.0,269.0
Income before tax(figures in $M),TRV,3354.0,3354.0,4458.0,3237.0,3138.0
Income tax expense(figures in $M),TRV,512.0,512.0,796.0,540.0,516.0
Income from continuing operations(figures in $M),TRV,2842.0,2842.0,3662.0,2697.0,2622.0
Net income(figures in $M),TRV,2842.0,2842.0,3662.0,2697.0,2622.0
Net income available to common shareholders(figures in $M),TRV,2822.0,2822.0,3635.0,2678.0,2603.0
Basic EPS(figures in $M),TRV,,1.191e-05,1.463e-05,1.056e-05,1.0009999999999999e-05
Diluted EPS(figures in $M),TRV,,1.1769999999999999e-05,1.449e-05,1.052e-05,9.92e-06
Basic average shares(figures in $M),TRV,,237.0,248.5,253.5,260.0
Diluted average shares(figures in $M),TRV,,239.7,250.8,254.6,262.3
