,ticker,2022-03-31,2021-03-31,2020-03-31
Cash and cash equivalents(figures in $M),RL,1863.8,2579.0,1620.4
Other short-term investments(figures in $M),RL,734.6,197.5,495.9
Total cash(figures in $M),RL,2598.4,2776.5,2116.3
Net receivables(figures in $M),RL,405.4,451.5,277.1
Inventory(figures in $M),RL,977.3,759.0,736.2
Other current assets(figures in $M),RL,12.3,16.5,8.9
Total current assets(figures in $M),RL,4217.3,4208.0,3375.2
"Gross property, plant and equipment(figures in $M)",RL,2080.8,2253.5,2491.1
Accumulated depreciation(figures in $M),RL,-2249.1,-2291.7,-2128.4
"Net property, plant and equipment(figures in $M)",RL,2080.8,2253.5,2491.1
Equity and other investments(figures in $M),RL,12.0,0.0,0.0
Goodwill(figures in $M),RL,908.7,934.6,915.5
Intangible assets(figures in $M),RL,102.9,121.1,141.0
Other long-term assets(figures in $M),RL,111.2,86.4,111.9
Total non-current assets(figures in $M),RL,3507.4,3679.5,3904.7
Total assets(figures in $M),RL,7724.7,7887.5,7279.9
Current debt(figures in $M),RL,499.8,0.0,774.6
Accounts payable(figures in $M),RL,448.7,355.9,246.8
Taxes payable(figures in $M),RL,53.8,50.6,65.1
Accrued liabilities(figures in $M),RL,991.4,875.4,717.1
Deferred revenues(figures in $M),RL,16.5,12.0,14.6
Other current liabilities(figures in $M),RL,0.0,0.3,6.9
Total current liabilities(figures in $M),RL,2255.7,1584.8,2092.0
Long-term debt(figures in $M),RL,1136.5,1632.9,396.4
Deferred tax liabilities(figures in $M),RL,12.5,10.7,10.0
Other long-term liabilities(figures in $M),RL,223.8,652.2,397.4
Total non-current liabilities(figures in $M),RL,2933.0,3698.3,2494.8
Total liabilities(figures in $M),RL,5188.7,5283.1,4586.8
Common stock(figures in $M),RL,1.3,1.3,1.3
Retained earnings(figures in $M),RL,6274.9,5872.9,5994.0
Accumulated other comprehensive income(figures in $M),RL,-180.3,-120.8,-118.2
Total stockholders' equity(figures in $M),RL,2536.0,2604.4,2693.1
Total liabilities and stockholders' equity(figures in $M),RL,7724.7,7887.5,7279.9
