,headline,final_score,datetime
0,CSX Corp. stock outperforms competitors on strong trading day,90,2023-05-04 09:47:00
1,June 23rd Options Now Available For CSX,86,2023-05-04 03:37:00
2,"UPDATE: ECB's Lagarde says no pause yet as ""more ground to cover""",53,2023-05-04 03:28:00
3,CSX Corp. stock outperforms market despite losses on the day,90,2023-05-03 09:47:00
5,Here's How Much a $1000 Investment in CSX Made 10 Years Ago Would Be Worth Today,60,2023-05-03 05:30:12
7,CSX Corp. stock outperforms competitors despite losses on the day,60,2023-05-02 09:47:00
9,"CSX Corp. stock rises Monday, outperforms market",90,2023-05-01 09:47:00
11,4.8% of this CSX Corporation (NASDAQ:CSX) insider's holdings were sold in the last year,60,2023-05-01 04:00:14
14,"CSX Corp. stock rises Friday, still underperforms market",90,2023-04-28 09:47:00
19,"CSX Corp. stock falls Wednesday, underperforms market",90,2023-04-26 09:47:00
21,CSX is defended by analysts after post-earnings stumble,86,2023-04-26 04:17:00
23,"CSX Corp. stock falls Monday, underperforms market",90,2023-04-24 09:47:00
24,Top Railroad Stocks for Q2 2023,56,2023-04-24 06:10:00
28,Recent uptick might appease CSX Corporation (NASDAQ:CSX) institutional owners after losing 6.6% over the past year,60,2023-04-22 04:00:25
30,CSX Announces Customer Environmental Excellence Award Winners,86,2023-04-21 12:55:00
31,Industrials Up After CSX Earnings -- Industrials Roundup,86,2023-04-21 10:27:00
32,"CSX Corp. stock rises Friday, outperforms market",90,2023-04-21 09:47:00
33,"Valmont, CSX rise; PC Connection, Regions Financial fall",86,2023-04-21 09:23:00
35,Credit Suisse Reiterates CSX (CSX) Outperform Recommendation,86,2023-04-21 08:42:48
36,Raymond James Maintains CSX (CSX) Outperform Recommendation,86,2023-04-21 08:42:46
37,Morgan Stanley Maintains CSX (CSX) Equal-Weight Recommendation,86,2023-04-21 08:42:45
38,Susquehanna Maintains CSX (CSX) Neutral Recommendation,86,2023-04-21 08:42:44
39,UBS Maintains CSX (CSX) Neutral Recommendation,86,2023-04-21 08:42:43
40,TD Cowen Maintains CSX (CSX) Market Perform Recommendation,86,2023-04-21 08:42:43
41,Citigroup Maintains CSX (CSX) Neutral Recommendation,86,2023-04-21 08:42:41
42,Stephens & Co. Maintains CSX (CSX) Overweight Recommendation,86,2023-04-21 08:42:41
43,BMO Capital Maintains CSX (CSX) Outperform Recommendation,86,2023-04-21 08:42:39
44,RBC Capital Maintains CSX (CSX) Outperform Recommendation,86,2023-04-21 08:42:39
45,CSX stock rises on earnings per share beat,86,2023-04-21 08:22:51
47,"CSX rises on Q1 earnings beat, revenue increases 9% year-over-year",60,2023-04-21 07:18:17
48,Service improvement in the spotlight as CSX and Union Pacific kick off rail earnings,60,2023-04-21 07:15:00
49,"Hurry, CSX Is Starting to Leave the Station",86,2023-04-21 07:15:00
