,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ECL,598.6,359.9,1260.2,118.8
Total cash(figures in $M),ECL,598.6,359.9,1260.2,118.8
Net receivables(figures in $M),ECL,2698.1,2478.4,2273.8,2382.0
Inventory(figures in $M),ECL,1792.8,1491.8,1285.2,1081.6
Other current assets(figures in $M),ECL,404.7,357.0,298.2,33.1
Total current assets(figures in $M),ECL,5494.2,4687.1,5117.4,4828.4
"Gross property, plant and equipment(figures in $M)",ECL,3741.6,3685.3,3548.7,7134.2
Accumulated depreciation(figures in $M),ECL,-3962.5,-3891.3,-3656.5,-3439.2
"Net property, plant and equipment(figures in $M)",ECL,3741.6,3685.3,3548.7,3695.0
Goodwill(figures in $M),ECL,8012.7,8063.9,6006.9,5569.1
Intangible assets(figures in $M),ECL,3680.7,4224.1,2977.0,2927.5
Other long-term assets(figures in $M),ECL,535.1,546.0,476.0,3656.4
Total non-current assets(figures in $M),ECL,15970.1,16519.3,13008.6,16040.7
Total assets(figures in $M),ECL,21464.3,21206.4,18126.0,20869.1
Current debt(figures in $M),ECL,505.1,411.0,17.3,380.5
Accounts payable(figures in $M),ECL,1728.2,1384.2,1160.6,1075.3
Taxes payable(figures in $M),ECL,197.6,104.3,96.1,136.9
Accrued liabilities(figures in $M),ECL,58.7,47.7,51.7,40.9
Deferred revenues(figures in $M),ECL,116.5,91.7,80.4,76.7
Other current liabilities(figures in $M),ECL,1285.9,1144.2,1188.9,994.0
Total current liabilities(figures in $M),ECL,4210.4,3553.2,2932.2,3630.6
Long-term debt(figures in $M),ECL,8075.3,8347.2,6669.3,5973.1
Deferred tax liabilities(figures in $M),ECL,505.6,622.0,483.9,537.3
Other long-term liabilities(figures in $M),ECL,406.3,254.1,312.4,269.8
Total non-current liabilities(figures in $M),ECL,9995.3,10400.1,8992.3,8512.7
Total liabilities(figures in $M),ECL,14205.7,13953.3,11924.5,12143.3
Common stock(figures in $M),ECL,364.7,364.1,362.6,359.6
Retained earnings(figures in $M),ECL,9318.8,8814.5,8243.0,9993.7
Accumulated other comprehensive income(figures in $M),ECL,-1726.6,-1634.8,-1994.4,-2089.7
Total stockholders' equity(figures in $M),ECL,7236.1,7224.2,6166.5,8685.3
Total liabilities and stockholders' equity(figures in $M),ECL,21464.3,21206.4,18126.0,20869.1
