,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),LIFE,9.981,2.336,16.952,9.21
Other short-term investments(figures in $M),LIFE,56.165,105.575,14.737,21.934
Total cash(figures in $M),LIFE,69.311,107.911,31.689,31.144
Total current assets(figures in $M),LIFE,81.086,113.569,35.744,31.925
"Gross property, plant and equipment(figures in $M)",LIFE,11.557,7.967,2.982,10.305
Accumulated depreciation(figures in $M),LIFE,-6.354,-6.157,-6.624,-6.214
"Net property, plant and equipment(figures in $M)",LIFE,11.557,1.81,2.982,4.091
Other long-term assets(figures in $M),LIFE,3.143,0.158,0.213,0.172
Total non-current assets(figures in $M),LIFE,14.7,1.968,2.982,4.263
Total assets(figures in $M),LIFE,95.786,115.537,38.726,36.188
Current debt(figures in $M),LIFE,0.0,0.0,0.0,8.737
Accounts payable(figures in $M),LIFE,3.106,1.031,1.431,0.847
Accrued liabilities(figures in $M),LIFE,9.862,4.002,3.572,2.376
Deferred revenues(figures in $M),LIFE,0.0,0.0,0.0,0.208
Total current liabilities(figures in $M),LIFE,13.862,6.013,5.864,12.923
Total non-current liabilities(figures in $M),LIFE,10.64,0.398,1.378,2.239
Total liabilities(figures in $M),LIFE,24.502,6.411,7.242,15.162
Common stock(figures in $M),LIFE,0.029,0.028,0.011,0.006
Retained earnings(figures in $M),LIFE,-417.634,-372.296,-338.528,-322.304
Accumulated other comprehensive income(figures in $M),LIFE,-0.433,-0.263,-0.043,-0.04
Total stockholders' equity(figures in $M),LIFE,71.284,109.301,31.484,21.026
Total liabilities and stockholders' equity(figures in $M),LIFE,95.786,115.537,38.726,36.188
