,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FAST,230.1,236.2,245.7,174.9
Total cash(figures in $M),FAST,230.1,236.2,245.7,174.9
Net receivables(figures in $M),FAST,1013.2,900.2,769.4,741.8
Inventory(figures in $M),FAST,1708.0,1523.6,1337.5,1366.4
Other current assets(figures in $M),FAST,165.4,188.1,140.3,157.4
Total current assets(figures in $M),FAST,3124.8,2856.6,2499.6,2457.2
"Gross property, plant and equipment(figures in $M)",FAST,1253.0,1261.5,1273.7,1266.4
Accumulated depreciation(figures in $M),FAST,-1301.4,-1178.0,-1053.9,-943.7
"Net property, plant and equipment(figures in $M)",FAST,1253.0,1261.5,1273.7,1266.4
Other long-term assets(figures in $M),FAST,170.8,180.9,191.4,76.3
Total non-current assets(figures in $M),FAST,1423.8,1442.4,1465.1,1342.7
Total assets(figures in $M),FAST,4548.6,4299.0,3964.7,3799.9
Current debt(figures in $M),FAST,201.8,60.0,40.0,3.0
Accounts payable(figures in $M),FAST,255.0,233.1,207.0,192.8
Accrued liabilities(figures in $M),FAST,241.1,298.3,272.1,251.5
Total current liabilities(figures in $M),FAST,789.8,682.2,612.7,544.7
Long-term debt(figures in $M),FAST,353.2,330.0,365.0,342.0
Deferred tax liabilities(figures in $M),FAST,83.7,88.6,102.3,99.4
Other long-term liabilities(figures in $M),FAST,3.5,0.0,0.0,0.0
Total non-current liabilities(figures in $M),FAST,595.6,574.6,618.8,589.6
Total liabilities(figures in $M),FAST,1385.4,1256.8,1231.5,1134.3
Common stock(figures in $M),FAST,5.7,5.8,2.9,2.9
Retained earnings(figures in $M),FAST,3218.7,2970.9,2689.6,2633.9
Accumulated other comprehensive income(figures in $M),FAST,-64.8,-30.7,-21.2,-38.4
Total stockholders' equity(figures in $M),FAST,3163.2,3042.2,2733.2,2665.6
Total liabilities and stockholders' equity(figures in $M),FAST,4548.6,4299.0,3964.7,3799.9
