,ticker,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Cash and cash equivalents(figures in $M),JWN,687.0,322.0,681.0,853.0
Total cash(figures in $M),JWN,687.0,322.0,681.0,853.0
Net receivables(figures in $M),JWN,265.0,255.0,245.0,179.0
Inventory(figures in $M),JWN,1941.0,2289.0,1863.0,1920.0
Other current assets(figures in $M),JWN,316.0,0.0,0.0,0.0
Total current assets(figures in $M),JWN,3209.0,3172.0,3642.0,3230.0
"Gross property, plant and equipment(figures in $M)",JWN,13110.0,12795.0,5313.0,5953.0
Accumulated depreciation(figures in $M),JWN,-8289.0,-7737.0,-7159.0,-6995.0
"Net property, plant and equipment(figures in $M)",JWN,4821.0,5058.0,5313.0,5953.0
Goodwill(figures in $M),JWN,249.0,249.0,249.0,249.0
Other long-term assets(figures in $M),JWN,466.0,390.0,334.0,305.0
Total non-current assets(figures in $M),JWN,5536.0,5697.0,5896.0,6507.0
Total assets(figures in $M),JWN,8745.0,8869.0,9538.0,9737.0
Current debt(figures in $M),JWN,0.0,0.0,500.0,0.0
Accounts payable(figures in $M),JWN,1238.0,1529.0,1960.0,1576.0
Accrued liabilities(figures in $M),JWN,291.0,383.0,352.0,510.0
Other current liabilities(figures in $M),JWN,1203.0,1160.0,1048.0,1190.0
Total current liabilities(figures in $M),JWN,2990.0,3314.0,4120.0,3520.0
Long-term debt(figures in $M),JWN,2856.0,2853.0,2769.0,2676.0
Other long-term liabilities(figures in $M),JWN,634.0,565.0,657.0,683.0
Total non-current liabilities(figures in $M),JWN,5016.0,4974.0,5113.0,5238.0
Total liabilities(figures in $M),JWN,8006.0,8288.0,9233.0,8758.0
Common stock(figures in $M),JWN,3353.0,3283.0,3205.0,3129.0
Retained earnings(figures in $M),JWN,-2588.0,-2652.0,-2830.0,-2082.0
Accumulated other comprehensive income(figures in $M),JWN,-26.0,-50.0,-70.0,-68.0
Total stockholders' equity(figures in $M),JWN,739.0,581.0,305.0,979.0
Total liabilities and stockholders' equity(figures in $M),JWN,8745.0,8869.0,9538.0,9737.0
