,headline,final_score,datetime
85,Expedia Group Inc. stock outperforms competitors on strong trading day,86,2023-04-18 09:53:00
86,"Airbnb, Trip.com and Expedia lead strong day for travel and leisure stocks",86,2023-04-18 03:30:00
89,"Expedia Group Inc. stock rises Monday, outperforms market",86,2023-04-17 09:53:00
91,"Expedia: Company Deep Dive, Intrinsic Valuation",86,2023-04-16 05:10:00
92,Expedia Group’s New Loyalty Program Will Have Fans and Critics,86,2023-04-15 08:05:00
93,Expedia (EXPE) Gains As Market Dips: What You Should Know,86,2023-04-14 15:00:10
95,"Expedia Group Inc. stock rises Thursday, outperforms market",86,2023-04-13 09:53:00
97,"EXPEDIA SUMMER TRAVEL FORECAST: FLIGHT SEARCHES UP 25%, INTEREST SURGING FOR INTERNATIONAL DESTINATIONS",86,2023-04-11 06:38:00
98,BKNG vs. EXPE: Which Travel Stock`s Web Traffic Fared Better in Q1?,60,2023-04-10 19:48:00
100,"Expedia Group Inc. stock falls Monday, underperforms market",86,2023-04-10 09:53:00
101,Expedia (EXPE) Boosts Travel Experience With Latest Feature,86,2023-04-10 08:44:03
103,Expedia CEO Looks to AI to ‘Rebalance’ Dependence on Google,86,2023-04-09 04:46:00
104,Expedia adds ChatGPT-powered travel planning feature,86,2023-04-08 15:34:00
106,"Expedia Group Inc. stock rises Thursday, still underperforms market",86,2023-04-06 09:53:00
107,Expedia rolls out ChatGPT-powered travel planning feature in app,86,2023-04-04 12:42:23
108,Expedia is Utilizing ChatGPT in an Unexpected Way,86,2023-04-04 09:56:00
109,Expedia Releases ChatGPT-Powered AI Chatbot on Mobile App,86,2023-04-04 09:52:00
110,Expedia Group launches in-app feature powered by ChatGPT,86,2023-04-04 08:55:39
111,Expedia Wants ChatGPT to Be Your Travel Adviser,86,2023-04-04 06:00:00
112,"CHATGPT WROTE THIS PRESS RELEASE -- NO, IT DIDN'T, BUT IT CAN NOW ASSIST WITH TRAVEL PLANNING IN THE EXPEDIA APP",86,2023-04-04 06:00:00
113,Watch Out Expedia - Google Now Has 'Price Guarantee' As Part Of Travel Initiative,86,2023-04-03 13:04:45
