,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),VMC,161.4,235.0,1197.068,271.589
Total cash(figures in $M),VMC,161.4,235.0,1197.068,271.589
Net receivables(figures in $M),VMC,1045.3,833.3,556.297,570.116
Inventory(figures in $M),VMC,579.3,521.3,448.585,458.308
Other current assets(figures in $M),VMC,115.9,95.0,74.27,76.396
Total current assets(figures in $M),VMC,1902.0,1691.1,2277.165,1379.326
"Gross property, plant and equipment(figures in $M)",VMC,11879.0,11135.8,9525.214,9157.406
Accumulated depreciation(figures in $M),VMC,-5255.1,-4897.6,-4676.087,-4433.179
"Net property, plant and equipment(figures in $M)",VMC,6623.9,6238.2,4849.127,4724.227
Equity and other investments(figures in $M),VMC,31.8,34.1,34.301,60.709
Goodwill(figures in $M),VMC,3689.6,3696.7,3172.112,3167.061
Intangible assets(figures in $M),VMC,1702.1,1749.0,1123.544,1091.475
Other long-term assets(figures in $M),VMC,285.2,273.5,230.656,225.995
Total non-current assets(figures in $M),VMC,12332.6,11991.5,9409.74,9269.467
Total assets(figures in $M),VMC,14234.6,13682.6,11686.905,10648.793
Current debt(figures in $M),VMC,100.5,5.2,515.435,0.025
Accounts payable(figures in $M),VMC,454.5,365.5,273.08,265.159
Accrued liabilities(figures in $M),VMC,132.7,140.1,111.589,116.395
Other current liabilities(figures in $M),VMC,401.6,398.6,259.368,270.379
Total current liabilities(figures in $M),VMC,956.6,769.3,1047.883,535.563
Long-term debt(figures in $M),VMC,3875.2,3874.8,2772.24,2784.315
Deferred tax liabilities(figures in $M),VMC,1072.8,1005.9,706.05,633.039
Deferred revenues(figures in $M),VMC,159.8,167.1,174.045,179.88
Other long-term liabilities(figures in $M),VMC,669.6,655.3,559.775,506.097
Total non-current liabilities(figures in $M),VMC,6325.8,6345.6,4611.692,4491.373
Total liabilities(figures in $M),VMC,7282.4,7114.9,5659.575,5026.936
Common stock(figures in $M),VMC,132.9,132.7,132.516,132.371
Retained earnings(figures in $M),VMC,4111.4,3748.5,3274.107,2895.871
Accumulated other comprehensive income(figures in $M),VMC,-154.7,-152.7,-181.305,-197.738
Total stockholders' equity(figures in $M),VMC,6928.6,6545.0,6027.33,5621.857
Total liabilities and stockholders' equity(figures in $M),VMC,14234.6,13682.6,11686.905,10648.793
