,ticker,2022-04-30,2021-04-30,2020-04-30
Cash and cash equivalents(figures in $M),NTAP,4134.0,4596.0,2882.0
Other short-term investments(figures in $M),NTAP,22.0,67.0,224.0
Total cash(figures in $M),NTAP,4134.0,4596.0,2882.0
Net receivables(figures in $M),NTAP,1230.0,945.0,973.0
Inventory(figures in $M),NTAP,204.0,114.0,145.0
Other current assets(figures in $M),NTAP,377.0,346.0,274.0
Total current assets(figures in $M),NTAP,5945.0,6001.0,4274.0
"Gross property, plant and equipment(figures in $M)",NTAP,2146.0,1912.0,2225.0
Accumulated depreciation(figures in $M),NTAP,-1250.0,-1273.0,-1361.0
"Net property, plant and equipment(figures in $M)",NTAP,602.0,525.0,727.0
Goodwill(figures in $M),NTAP,2346.0,2039.0,1778.0
Intangible assets(figures in $M),NTAP,142.0,101.0,44.0
Other long-term assets(figures in $M),NTAP,991.0,694.0,699.0
Total non-current assets(figures in $M),NTAP,4081.0,3359.0,3248.0
Total assets(figures in $M),NTAP,10026.0,9360.0,7522.0
Current debt(figures in $M),NTAP,250.0,0.0,522.0
Accounts payable(figures in $M),NTAP,607.0,420.0,426.0
Accrued liabilities(figures in $M),NTAP,925.0,970.0,774.0
Deferred revenues(figures in $M),NTAP,2171.0,2062.0,1894.0
Other current liabilities(figures in $M),NTAP,399.0,395.0,375.0
Total current liabilities(figures in $M),NTAP,3953.0,3452.0,3616.0
Long-term debt(figures in $M),NTAP,2386.0,2632.0,1146.0
Deferred revenues(figures in $M),NTAP,2061.0,1941.0,1804.0
Other long-term liabilities(figures in $M),NTAP,788.0,650.0,714.0
Total non-current liabilities(figures in $M),NTAP,5235.0,5223.0,3664.0
Total liabilities(figures in $M),NTAP,9188.0,8675.0,7280.0
Common stock(figures in $M),NTAP,760.0,685.0,242.0
Retained earnings(figures in $M),NTAP,122.0,211.0,0.0
Accumulated other comprehensive income(figures in $M),NTAP,-44.0,-30.0,-42.0
Total stockholders' equity(figures in $M),NTAP,838.0,685.0,242.0
Total liabilities and stockholders' equity(figures in $M),NTAP,10026.0,9360.0,7522.0
