,headline,final_score,datetime
106,Phillips 66 price target raised to $120 from $112 at JPMorgan,90,2023-03-27 20:51:00
110,Phillips 66 (PSX) Stock Moves -0.9%: What You Should Know,90,2023-03-22 14:45:09
112,"Phillips 66 stock remains steady Tuesday, underperforms market",90,2023-03-21 10:19:00
113,Huge Phillips 66 biofuels project will test the industry’s green promises,90,2023-03-21 03:09:31
114,INSIGHT-Huge Phillips 66 biofuels project will test the industry’s green promises,90,2023-03-21 03:00:00
115,Phillips 66 to Announce First-Quarter Financial Results,90,2023-03-20 13:30:00
116,Phillips 66's (NYSE:PSX) Returns On Capital Are Heading Higher,90,2023-03-20 11:31:13
117,Phillips 66: Blending Barrels Of Cash,90,2023-03-20 11:03:10
118,"Phillips 66 stock rises Monday, still underperforms market",90,2023-03-20 10:19:00
121,Phillips 66 (PSX) Gains But Lags Market: What You Should Know,90,2023-03-16 14:45:09
128,Phillips 66 (PSX) Is a Trending Stock: Facts to Know Before Betting on It,90,2023-03-14 06:00:01
129,"KeyCorp, Philips 66 fall; Seagen, Insulet rise",86,2023-03-13 09:26:00
133,Notable Two Hundred Day Moving Average Cross - PSX,60,2023-03-12 18:23:00
135,Phillips 66 price target lowered to $120 from $121 at Mizuho,90,2023-03-09 21:54:00
137,Phillips 66: Growing Refiner 'Supply Inelasticity' Drives Structural Profit Growth,90,2023-03-09 09:58:11
138,"Phillips 66 stock rises Thursday, outperforms market",90,2023-03-09 09:19:00
139,The Play On Phillips 66,90,2023-03-09 06:01:19
141,Phillips 66 up 3.5% as UBS launches upbeat coverage of oil refiners,90,2023-03-09 02:13:00
144,Phillips 66: Growing Refiner `Supply Inelasticity` Drives Structural Profit Growth,90,2023-03-08 21:02:00
147,Phillips 66 initiated with a Buy at UBS,90,2023-03-07 19:23:00
149,Phillips 66® Honors Two Oklahoma City Educators at Big 12 Basketball Championships,90,2023-03-07 06:03:00
150,Phillips 66 (PSX) Presents at 51st Annual Scotia Howard Weil Energy Conference (Transcript),60,2023-03-07 03:54:06
