,ticker,sentiment
2023-04-11 20:58:00,DV,-0.3612
2023-04-12 00:44:00,DV,-0.3612
2023-04-12 05:08:00,DV,0.2023
2023-04-12 14:33:46,DV,-0.3612
2023-04-16 05:59:42,DV,0.5719
2023-04-18 13:36:06,DV,0.3818
2023-04-24 23:32:00,DV,0.1531
2023-04-27 18:35:00,DV,0.296
2023-04-28 10:12:04,DV,0.5106
2023-05-01 19:28:00,DV,0.5622
2023-05-02 01:02:00,DV,0.3182
2023-05-02 01:02:00,DV,0.5106
2023-05-02 01:04:00,DV,0.0516
2023-05-02 01:07:00,DV,0.5106
2023-05-02 02:00:00,DV,0.5106
2023-05-02 04:00:00,DV,0.3818
2023-05-02 04:55:00,DV,-0.3612
2023-05-03 04:00:00,DV,0.4215
2023-05-04 05:00:00,DV,0.3818
