,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AKAM,542.337,536.725,352.917,543.745
Other short-term investments(figures in $M),AKAM,562.979,541.47,745.156,993.249
Total cash(figures in $M),AKAM,1105.316,1078.195,1098.073,1536.994
Net receivables(figures in $M),AKAM,679.206,675.926,660.052,551.943
Other current assets(figures in $M),AKAM,185.04,16.66,20.461,17.604
Total current assets(figures in $M),AKAM,1969.562,1920.434,1929.531,2231.613
"Gross property, plant and equipment(figures in $M)",AKAM,2353.554,2350.083,2272.217,1910.603
Accumulated depreciation(figures in $M),AKAM,-2560.625,-2260.247,-2041.818,-1878.91
"Net property, plant and equipment(figures in $M)",AKAM,2353.554,2350.083,2272.217,1910.603
Equity and other investments(figures in $M),AKAM,320.531,1088.048,1398.802,835.384
Goodwill(figures in $M),AKAM,2763.838,2156.254,1674.371,1600.265
Intangible assets(figures in $M),AKAM,441.716,313.225,234.724,179.431
Other long-term assets(figures in $M),AKAM,116.522,142.287,147.567,173.062
Total non-current assets(figures in $M),AKAM,6333.838,6218.239,5834.599,4775.273
Total assets(figures in $M),AKAM,8303.4,8138.673,7764.13,7006.886
Accounts payable(figures in $M),AKAM,145.42,109.928,118.546,138.946
Taxes payable(figures in $M),AKAM,76.459,72.946,50.812,40.337
Accrued liabilities(figures in $M),AKAM,367.017,411.59,380.468,334.861
Deferred revenues(figures in $M),AKAM,105.109,86.517,76.6,71.223
Other current liabilities(figures in $M),AKAM,5.228,6.623,27.755,8.843
Total current liabilities(figures in $M),AKAM,818.868,790.341,758.17,693.336
Long-term debt(figures in $M),AKAM,2285.258,1976.167,1906.707,1839.791
Deferred tax liabilities(figures in $M),AKAM,18.4,40.974,37.458,29.187
Deferred revenues(figures in $M),AKAM,22.117,25.342,5.262,4.368
Other long-term liabilities(figures in $M),AKAM,105.305,68.748,89.833,90.065
Total non-current liabilities(figures in $M),AKAM,3124.345,2818.318,2754.664,2655.592
Total liabilities(figures in $M),AKAM,3943.213,3608.659,3512.834,3348.928
Common stock(figures in $M),AKAM,1.565,1.605,1.627,1.62
Retained earnings(figures in $M),AKAM,1920.351,1256.692,605.05,47.996
Accumulated other comprehensive income(figures in $M),AKAM,-140.332,-69.105,-20.201,-45.144
Total stockholders' equity(figures in $M),AKAM,4360.187,4530.014,4251.296,3657.958
Total liabilities and stockholders' equity(figures in $M),AKAM,8303.4,8138.673,7764.13,7006.886
