,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),SNA,757.2,780.0,923.4,184.5
Total cash(figures in $M),SNA,757.2,780.0,923.4,184.5
Net receivables(figures in $M),SNA,761.7,682.3,640.7,694.6
Inventory(figures in $M),SNA,1033.1,803.8,746.5,760.4
Other current assets(figures in $M),SNA,144.8,0.0,0.0,0.0
Total current assets(figures in $M),SNA,3368.9,3053.4,3083.0,2380.5
"Gross property, plant and equipment(figures in $M)",SNA,574.1,570.1,578.1,577.1
Accumulated depreciation(figures in $M),SNA,-1024.0,-1009.2,-973.2,-903.5
"Net property, plant and equipment(figures in $M)",SNA,574.1,570.1,578.1,577.1
Goodwill(figures in $M),SNA,1045.3,1116.5,982.4,913.8
Intangible assets(figures in $M),SNA,275.6,301.7,260.8,243.9
Other long-term assets(figures in $M),SNA,13.7,176.3,91.7,62.3
Total non-current assets(figures in $M),SNA,3603.9,3706.3,3474.3,3313.0
Total assets(figures in $M),SNA,6972.8,6759.7,6557.3,5693.5
Current debt(figures in $M),SNA,17.2,17.4,268.5,202.9
Accounts payable(figures in $M),SNA,287.0,277.6,222.9,198.5
Taxes payable(figures in $M),SNA,33.4,18.9,32.8,23.9
Accrued liabilities(figures in $M),SNA,495.0,491.7,505.2,424.1
Deferred revenues(figures in $M),SNA,57.1,56.4,53.6,55.1
Other current liabilities(figures in $M),SNA,73.8,80.7,78.4,68.2
Total current liabilities(figures in $M),SNA,971.6,982.2,1164.9,947.6
Long-term debt(figures in $M),SNA,1183.8,1182.9,1182.1,946.9
Deferred tax liabilities(figures in $M),SNA,82.1,122.7,70.4,69.3
Other long-term liabilities(figures in $M),SNA,85.1,97.9,97.7,105.7
Total non-current liabilities(figures in $M),SNA,1497.7,1573.7,1545.8,1315.1
Total liabilities(figures in $M),SNA,2469.3,2555.9,2710.7,2262.7
Common stock(figures in $M),SNA,67.4,67.4,67.4,67.4
Retained earnings(figures in $M),SNA,6296.2,5699.9,5156.9,4779.7
Accumulated other comprehensive income(figures in $M),SNA,-528.3,-343.9,-365.8,-507.9
Total stockholders' equity(figures in $M),SNA,4481.3,4181.9,3824.9,3409.1
Total liabilities and stockholders' equity(figures in $M),SNA,6972.8,6759.7,6557.3,5693.5
