,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CHRW,217.482,257.413,243.796,447.858
Total cash(figures in $M),CHRW,217.482,257.413,243.796,447.858
Net receivables(figures in $M),CHRW,2991.753,3963.487,2449.577,1974.381
Other current assets(figures in $M),CHRW,122.406,0.0,0.0,0.0
Total current assets(figures in $M),CHRW,3589.238,4804.153,2941.701,2640.118
"Gross property, plant and equipment(figures in $M)",CHRW,531.573,432.39,498.734,519.283
Accumulated depreciation(figures in $M),CHRW,-290.396,-302.281,-300.033,-281.553
"Net property, plant and equipment(figures in $M)",CHRW,531.573,432.39,498.734,519.283
Goodwill(figures in $M),CHRW,1470.813,1484.754,1487.187,1291.76
Intangible assets(figures in $M),CHRW,152.826,159.718,1703.823,1481.659
Other long-term assets(figures in $M),CHRW,0.0,22.197,24.472,33.721
Total non-current assets(figures in $M),CHRW,2365.326,2223.959,2202.557,2000.942
Total assets(figures in $M),CHRW,5954.564,7028.112,5144.258,4641.06
Current debt(figures in $M),CHRW,1053.655,525.0,0.0,142.885
Accounts payable(figures in $M),CHRW,1570.559,1919.301,1283.364,1062.835
Taxes payable(figures in $M),CHRW,15.21,100.265,43.7,12.354
Accrued liabilities(figures in $M),CHRW,367.101,514.044,308.034,163.9
Total current liabilities(figures in $M),CHRW,3322.852,3326.342,1839.732,1556.038
Long-term debt(figures in $M),CHRW,920.049,1393.649,1093.301,1092.448
Deferred tax liabilities(figures in $M),CHRW,14.256,16.113,22.182,39.776
Other long-term liabilities(figures in $M),CHRW,1.926,0.315,14.523,0.27
Total non-current liabilities(figures in $M),CHRW,1278.29,1679.836,1424.593,1414.292
Total liabilities(figures in $M),CHRW,4601.142,5006.178,3264.325,2970.33
Common stock(figures in $M),CHRW,11.632,12.919,13.43,13.49
Retained earnings(figures in $M),CHRW,5590.44,4936.861,4372.833,4144.834
Accumulated other comprehensive income(figures in $M),CHRW,-88.86,-61.134,-45.998,-76.149
Total stockholders' equity(figures in $M),CHRW,1353.422,2021.934,1879.933,1670.73
Total liabilities and stockholders' equity(figures in $M),CHRW,5954.564,7028.112,5144.258,4641.06
