,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),WDC,2327.0,3370.0,3048.0,3455.0
Total cash(figures in $M),WDC,2327.0,3370.0,3048.0,3455.0
Net receivables(figures in $M),WDC,2804.0,2257.0,2379.0,1204.0
Inventory(figures in $M),WDC,3638.0,3616.0,3070.0,3283.0
Other current assets(figures in $M),WDC,684.0,514.0,551.0,535.0
Total current assets(figures in $M),WDC,9453.0,9757.0,9048.0,8477.0
"Gross property, plant and equipment(figures in $M)",WDC,11970.0,10959.0,10300.0,10003.0
Accumulated depreciation(figures in $M),WDC,-8300.0,-7771.0,-7446.0,-7160.0
"Net property, plant and equipment(figures in $M)",WDC,3670.0,3188.0,2854.0,2843.0
Goodwill(figures in $M),WDC,10041.0,10066.0,10067.0,10076.0
Intangible assets(figures in $M),WDC,213.0,442.0,941.0,1711.0
Other long-term assets(figures in $M),WDC,1486.0,1093.0,877.0,472.0
Total non-current assets(figures in $M),WDC,16806.0,16375.0,16614.0,17893.0
Total assets(figures in $M),WDC,26259.0,26132.0,25662.0,26370.0
Current debt(figures in $M),WDC,0.0,251.0,286.0,276.0
Accounts payable(figures in $M),WDC,2222.0,2332.0,2352.0,1898.0
Taxes payable(figures in $M),WDC,869.0,0.0,0.0,0.0
Accrued liabilities(figures in $M),WDC,1825.0,1653.0,1296.0,1296.0
Total current liabilities(figures in $M),WDC,4557.0,4870.0,4406.0,3817.0
Long-term debt(figures in $M),WDC,7022.0,8474.0,9289.0,10246.0
Other long-term liabilities(figures in $M),WDC,2459.0,2067.0,2416.0,2340.0
Total non-current liabilities(figures in $M),WDC,9481.0,10541.0,11705.0,12586.0
Total liabilities(figures in $M),WDC,14038.0,15411.0,16111.0,16403.0
Common stock(figures in $M),WDC,3.0,3.0,3.0,3.0
Retained earnings(figures in $M),WDC,9039.0,7539.0,6725.0,7449.0
Accumulated other comprehensive income(figures in $M),WDC,-554.0,-197.0,-157.0,-68.0
Total stockholders' equity(figures in $M),WDC,12221.0,10721.0,9551.0,9967.0
Total liabilities and stockholders' equity(figures in $M),WDC,26259.0,26132.0,25662.0,26370.0
