,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MTB,8178.559,8042.559,5991.772,5954.761,6191.943
Interest expense(figures in $M),MTB,425.164,425.164,114.006,326.395,749.329
Income before tax(figures in $M),MTB,2611.123,2611.123,2455.149,1769.521,2547.261
Income tax expense(figures in $M),MTB,619.46,619.46,596.403,416.369,618.112
Income from continuing operations(figures in $M),MTB,1991.663,1991.663,1858.746,1353.152,1929.149
Net income(figures in $M),MTB,1991.663,1991.663,1858.746,1353.152,1929.149
Net income available to common shareholders(figures in $M),MTB,1891.469,1891.48,1776.987,1279.068,1849.511
Basic EPS(figures in $M),MTB,,1.1589999999999999e-05,1.381e-05,9.94e-06,1.376e-05
Diluted EPS(figures in $M),MTB,,1.153e-05,1.38e-05,9.94e-06,1.375e-05
Basic average shares(figures in $M),MTB,,163.199,128.674,128.679,134.412
Diluted average shares(figures in $M),MTB,,164.03,128.812,128.704,134.462
