,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Mscore,-2.1536658271440037,-2.518641564319725,-2.545490667269407,-2.513217447997862
Zscore,-2.504742444380186,-1.9391830093866838,-1.2961310063630496,0.11851740998460776
McKee,0.6210072415431017,0.1579816534266649,0.05928338445454072,0.4040684853201289
