,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),NU,2971.196,2971.196,1145.204,359.917,359.53
Interest expense(figures in $M),NU,1547.903,1547.903,367.344,215.076,109.697
Income before tax(figures in $M),NU,-308.901,-308.901,-170.164,-193.178,-129.299
Income tax expense(figures in $M),NU,55.733,55.733,-4.83,-21.687,-36.768
Income from continuing operations(figures in $M),NU,-364.634,-364.634,-165.334,-171.491,-92.531
Net income(figures in $M),NU,-364.578,-364.578,-164.993,-171.491,-92.531
Net income available to common shareholders(figures in $M),NU,-364.578,-364.578,-164.993,-171.491,-92.531
Basic EPS(figures in $M),NU,,-8e-08,-1.0000000000000001e-07,-4e-08,-2e-08
Diluted EPS(figures in $M),NU,,-8e-08,-1.0000000000000001e-07,-4e-08,-2e-08
Basic average shares(figures in $M),NU,,4676.977,1602.126,4608.684,4608.684
Diluted average shares(figures in $M),NU,,4676.977,1602.126,4608.684,4608.684
